file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama-3.1-70b-versatile_et-en.csv,llama-3.1-70b-versatile,et-en,et,en,unspecified,Kaks mõjukat naist jagavad oma edu saladusi,Two influential women share their success secrets.,Two Powerhouse Women Share Their Secrets for Success,0.9230426549911499
translations_llama-3.1-70b-versatile_et-en.csv,llama-3.1-70b-versatile,et-en,et,en,unspecified,Mis on ühist Barbara Corcoranil ja Laila Alil?,What do Barbara Corcoran and Laila Ali have in common?,What do Barbara Corcoran and Laila Ali have in common?,0.9827836751937866
translations_llama-3.1-70b-versatile_et-en.csv,llama-3.1-70b-versatile,et-en,et,en,unspecified,Esmapilgul on need naised pärit kahest täiesti erinevast maailmast.,"At first glance, these women come from two completely different worlds.","On paper, the women are from two very different worlds.",0.9124767780303955
translations_llama-3.1-70b-versatile_et-en.csv,llama-3.1-70b-versatile,et-en,et,en,unspecified,"New Yorgi kinnisvaramagnaat Barbara Corcoran suutis teisendada tuhande dollari suuruse laenu viie miljardi vääriliseks kinnisvaraettevõtteks, enne kui rakendas oma asjatundlikkust teleekraanil, osaledes ABC tõsielusarja ""Shark Tank"" investorite paneelis.","New York real estate mogul Barbara Corcoran managed to transform a $1,000 loan into a $5 billion worth real estate company, before applying her expertise on the television screen, participating in the investor panel of the ABC reality show ""Shark Tank"".","New York real-estate tycoon, Barbara Corcoran, turned a $1,000 loan into a $5 billion real estate business, before taking her expertise to the small screen, serving on the panel of investors on ABC's Shark Tank.",0.8716593980789185
translations_llama-3.1-70b-versatile_et-en.csv,llama-3.1-70b-versatile,et-en,et,en,unspecified,"Laila Ali on käinud oma isa jälgedes, saades neljakordse võitmatu tšempionina kõige edukamaks naispoksijaks, enne kui tema resümeesse lisandusid veel telesaatejuhi, autori ja kõneleja rollid.","Laila Ali has followed in her father's footsteps, becoming the most successful female boxer of all time as a four-time undefeated champion, before adding television host, author, and speaker to her resume.","Laila Ali followed in her father's footsteps, becoming the most successful female in women's boxing as a four-time undefeated champion before adding TV host, author and speaker to her resume.",0.8921404480934143
translations_llama-3.1-70b-versatile_et-en.csv,llama-3.1-70b-versatile,et-en,et,en,unspecified,"Vaatamata nende unikaalsetele karjääriteekondadele (või ehk hoopis nende tõttu) värbas TJ Maxx ometi mõlemad naised, et nad aitaksid rääkida saalitäiele lootusrikastele ettevõtjatele stereotüüpide murdmisest ja kõrgelennuliste eesmärkide saavutamisest.","Despite their unique career paths (or perhaps because of them), TJ Maxx recruited both women to help tell the story of breaking stereotypes and achieving high-flying goals to hopeful entrepreneurs in the audience.","Yet despite (or perhaps because of) their unique career paths, TJ Maxx enlisted the help of both women to talk breaking stereotypes and accomplishing lofty goals to a ballroom full of hopeful entrepreneurs.",0.879367470741272
translations_llama-3.1-70b-versatile_et-en.csv,llama-3.1-70b-versatile,et-en,et,en,unspecified,"Eelmisel aastal kõneles T.J. Maxx sadadele naistele poodides üle riigi ja avastas, et 80 protsenti neist tunneb, et ühiskond on seadnud neile stereotüüpselt kindlad rollid ja ootused.","Last year, T.J. Maxx spoke to hundreds of women in stores across the country and discovered that 80 percent of them feel that society has set stereotypical roles and expectations for them.","Last year, T.J. Maxx spoke to hundreds of women in stores across the country and discovered that 80 percent feel stereotyped by society into specific roles and expectations.",0.9261784553527832
translations_llama-3.1-70b-versatile_et-en.csv,llama-3.1-70b-versatile,et-en,et,en,unspecified,"Sellest tulenevalt tulid nad välja projektiga The Maxx You Project, et aidata naistel neid barjääre lõhkuda.","As a result, they came up with the project The Maxx You Project to help women break down these barriers.",So they launched The Maxx You Project aimed at helping women break those barriers.,0.8954577445983887
translations_llama-3.1-70b-versatile_et-en.csv,llama-3.1-70b-versatile,et-en,et,en,unspecified,"Corcoron ja Ali teavad sellest nii mõndagi. Nad võivad küll olla praeguseks oma valdkonna tipus, aga teekond sinna ei olnud kummagi jaoks sujuv.","Corcoran and Ali know a thing or two about that. They may be at the top of their field now, but the journey there wasn't smooth for either of them.","Which Corcoron and Ali know a thing or two about: They may be at the top of their games now, but it wasn't a smooth road to success for either woman.",0.8599914908409119
translations_llama-3.1-70b-versatile_et-en.csv,llama-3.1-70b-versatile,et-en,et,en,unspecified,Corcoran sai keskkoolis ja kolledžis hindeks peamiselt D-sid ja oli töötanud 23-aastaseks saades juba 20 töökohal.,Corcoran received mostly D's in high school and college and had worked at 20 jobs by the time he was 23.,"Corcoran earned straight D's in high school and college, hopped between 20 jobs by the time she turned 23.",0.8758522868156433
translations_llama-3.1-70b-versatile_et-en.csv,llama-3.1-70b-versatile,et-en,et,en,unspecified,"Ali sisenes ühte kõige meestekesksemasse valdkonda ja lisaks seisis tema teel ees katsumus üritada astuda välja oma isa varjust, kes oli üleilme ikoon.","She entered one of the most male-dominated fields and on top of that, she faced the challenge of trying to step out of the shadow of her father, who was a global icon.",Ali entered one of the most male-dominated industries and had the added struggle of carving out her own place beyond the shadow of her global icon father.,0.8685855269432068
translations_llama-3.1-70b-versatile_et-en.csv,llama-3.1-70b-versatile,et-en,et,en,unspecified,Need kaks pehmelt öeldes pakatavad läbi raskuste omandatud teadmistest.,"These two, to put it mildly, pack the knowledge acquired through hardships.",To say the two are brimming with hard-learned advice is an understatement.,0.6545702219009399
translations_llama-3.1-70b-versatile_et-en.csv,llama-3.1-70b-versatile,et-en,et,en,unspecified,"Seetõttu istusime nende mõjukate naistega maha, et rääkida ebaõnnestumiste ületamisest, eduga toimetulekust ning oma kõhutunde usaldamisest äris ja suhetes.","We sat down with these influential women to talk about overcoming failures, dealing with success, and trusting your gut in business and relationships.","So we sat down with the two powerhouses to talk overcoming failure, navigating success and trusting their gut instincts in business and relationships.",0.8972350358963013
translations_llama-3.1-70b-versatile_et-en.csv,llama-3.1-70b-versatile,et-en,et,en,unspecified,"Mis inspireerib teid tegema seda, millega tegelete iga päev?",What inspires you to do what you do every day?,What inspires both of you to do what you do every day?,0.9573469161987305
translations_llama-3.1-70b-versatile_et-en.csv,llama-3.1-70b-versatile,et-en,et,en,unspecified,Laila Ali: Mind inspireerivad iga päev mu isiklikud eesmärgid.,Laila Ali: I am inspired every day by my personal goals.,Laila Ali: I'm inspired on a daily basis by my personal goals.,0.9388526082038879
translations_llama-3.1-70b-versatile_et-en.csv,llama-3.1-70b-versatile,et-en,et,en,unspecified,"Olen kujundanud harjumuse kirjutada üles asju, mida soovin saavutada.",I have developed a habit of writing down things I want to achieve.,I make it a habit to write down what it is that I want to accomplish.,0.9094493389129639
translations_llama-3.1-70b-versatile_et-en.csv,llama-3.1-70b-versatile,et-en,et,en,unspecified,Ja ma vaatan seda nimekirja.,And I look at this list.,And I check that list.,0.8312928080558777
translations_llama-3.1-70b-versatile_et-en.csv,llama-3.1-70b-versatile,et-en,et,en,unspecified,Pean end vastutavaks.,I hold myself responsible.,I keep myself accountable.,0.8894655108451843
translations_llama-3.1-70b-versatile_et-en.csv,llama-3.1-70b-versatile,et-en,et,en,unspecified,Loomulikult inspireerivad mind mu lapsed.,"Naturally, my children inspire me.","My kids inspire me, of course.",0.9410023093223572
translations_llama-3.1-70b-versatile_et-en.csv,llama-3.1-70b-versatile,et-en,et,en,unspecified,Minu ambitsioonid inspireerivad mind.,My ambitions inspire me.,My ambition inspires me.,0.9689640998840332
