file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama-3.2-90b-vision-preview_cs-en.csv,llama-3.2-90b-vision-preview,cs-en,cs,en,unspecified,Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri,The civil rights movement issued a travel warning for Missouri,Civil rights group issues travel warning for Missouri,0.9152779579162598
translations_llama-3.2-90b-vision-preview_cs-en.csv,llama-3.2-90b-vision-preview,cs-en,cs,en,unspecified,Národní asociace pro zvýhodňování barevných lidí (NAACP) zveřejnila varování pro barevné lidi cestující do Missouri na základě diskriminačních zásad státu a rasistických útoků.,The National Association for the Advancement of Colored People (NAACP) issued a warning for people of color traveling to Missouri based on the state's discriminatory policies and racist attacks.,The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,0.909477949142456
translations_llama-3.2-90b-vision-preview_cs-en.csv,llama-3.2-90b-vision-preview,cs-en,cs,en,unspecified,"„Cestovní doporučení NAACP pro stát Missouri, s účinností od 28. srpna 2017, vyzývá afroamerické cestující, návštěvníky a obyvatele Missouri, aby při cestování napříč státem dbali zvýšené pozornosti v důsledku série sporných rasově motivovaných incidentů, ke kterým v současné době dochází v celém státu,“ stojí v prohlášení asociace.","""NAACP's travel advisory for the state of Missouri, effective August 28, 2017, is calling for African American travelers, visitors and residents to exercise extreme caution while traveling throughout the state due to a series of questionable, race-based incidents occurring statewide,"" the association's statement reads.","""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.",0.8659698963165283
translations_llama-3.2-90b-vision-preview_cs-en.csv,llama-3.2-90b-vision-preview,cs-en,cs,en,unspecified,"NAACP uvedlo, že k tomuto kroku přistoupilo na základě současných zákonů státu Missouri, které znesnadňují obhajobu rasisticky motivovaných činů před soudem, stejně jako v důsledku jednání orgánů činných v trestním řízení, které nepřiměřeně cílí na menšiny.","The NAACP said it took the action based on current Missouri state laws that make it difficult to defend against racially motivated crimes in court, as well as the actions of law enforcement that disproportionately target minorities.","A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.",0.832801342010498
translations_llama-3.2-90b-vision-preview_cs-en.csv,llama-3.2-90b-vision-preview,cs-en,cs,en,unspecified,„Dochází k porušování občanských práv.,Civil rights are being violated.,"""You have violations of civil rights that are happening to people.",0.8284959197044373
translations_llama-3.2-90b-vision-preview_cs-en.csv,llama-3.2-90b-vision-preview,cs-en,cs,en,unspecified,"Lidé jsou zastavováni policisty jen kvůli barvě své pleti, jsou napadán nebo zabíjeni,“ uvedl pro Kansas City Star prezident NAACP pro Missouri Rod Chapel.","""People are being stopped by police just because of the color of their skin, they are being attacked or killed,"" said Rod Chapel, president of the NAACP for Missouri, to the Kansas City Star.","They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.",0.882158100605011
translations_llama-3.2-90b-vision-preview_cs-en.csv,llama-3.2-90b-vision-preview,cs-en,cs,en,unspecified,„Hromadí se nám dosud největší množství stížností.“,We are still accumulating the largest number of complaints.,We are hearing complaints at a rate we haven't heard before.,0.6642475724220276
translations_llama-3.2-90b-vision-preview_cs-en.csv,llama-3.2-90b-vision-preview,cs-en,cs,en,unspecified,"Jedná se o první varování svého druhu, které organizace vydala pro stát USA.",This is the first warning of its kind that the organization has issued for the United States.,It is the first such warning that the organization has issued for a state in the US.,0.9221165776252747
translations_llama-3.2-90b-vision-preview_cs-en.csv,llama-3.2-90b-vision-preview,cs-en,cs,en,unspecified,"Mezi incidenty, které organizace citovala, byly rasově motivované nadávky směřované vůči studentům černé pleti na University of Missouri a smrt Toryho Sanderse, muže černé pleti z Tennessee.","Among the incidents cited by the organization were the racially motivated slurs directed at black students at the University of Missouri and the death of Tory Sanders, a black man from Tennessee.","The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.",0.8934281468391418
translations_llama-3.2-90b-vision-preview_cs-en.csv,llama-3.2-90b-vision-preview,cs-en,cs,en,unspecified,"Sanders zemřel za sporných okolností na začátku letošního roku poté,co mu při cestování napříč státem došel benzín a policie jej uvrhla do vazby bez obvinění ze spáchání zločinu.",Sanders died under disputed circumstances earlier this year after running out of gas while traveling across the state and being taken into custody by police without being charged with a crime.,"Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.",0.900794506072998
translations_llama-3.2-90b-vision-preview_cs-en.csv,llama-3.2-90b-vision-preview,cs-en,cs,en,unspecified,"Cestovní doporučení rovněž upozorňuje na nedávné prohlášení nejvyššího státního zastupitelství státu Missouri, které uvádí, že řidiči černé pleti mají o 75 % vyšší šanci, že je zastaví policie.",The travel advisory also notes a recent statement from the state of Missouri's attorney general that says black drivers have a 75% higher chance of being stopped by police.,The advisory also points to a recent report by the Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.,0.8586297035217285
translations_llama-3.2-90b-vision-preview_cs-en.csv,llama-3.2-90b-vision-preview,cs-en,cs,en,unspecified,"„Účelem cestovního doporučení je upozorňovat lidi a varovat jejich rodiny, přátele a spolupracovníky před tím, co by se mohlo přihodit v Missouri,“ řekl Chapel.","""The purpose of the travel advisory is to alert people and warn their families, friends and colleagues about what could happen in Missouri,"" Chapel said.","""The advisory is for people to be aware, and warn their families and friends and co-workers of what could happen in Missouri,"" Chapel said.",0.8854163289070129
translations_llama-3.2-90b-vision-preview_cs-en.csv,llama-3.2-90b-vision-preview,cs-en,cs,en,unspecified,"„Lidé musejí být připraveni - měli by s sebou vozit peníze na případnou úhradu kauce nebo upozornit své příbuzné, že se chystají cestovat státem.“",People must be prepared - they should carry money with them for possible bail payment or inform their relatives that they are planning to travel through the state.,"People need to be ready, whether it's bringing bail money with them, or letting relatives know they are traveling through the state.",0.8695423007011414
translations_llama-3.2-90b-vision-preview_cs-en.csv,llama-3.2-90b-vision-preview,cs-en,cs,en,unspecified,"Podle aktuálních čísel programu FBI k hlášení nenávistných činů došlo v roce 2015 v Missouri ke stovce případů nenávistného chování, což dosazuje stát na šestnácté místo mezi všemi státy.","According to the FBI's Hate Crime Reporting Program's current numbers, in 2015, Missouri had a hundred cases of hate crimes, placing the state sixteenth among all states.","Missouri recorded 100 hate crimes in 2015, according to the latest figures from the FBI's hate crime reporting program, ranking the state at 16th in the country in terms of the number of such violations.",0.839243471622467
translations_llama-3.2-90b-vision-preview_cs-en.csv,llama-3.2-90b-vision-preview,cs-en,cs,en,unspecified,"Cestovní výstraha je zároveň odpovědí na nový zákon Missouri, který znesnadňuje zažalování společnosti za diskriminaci při poskytování ubytování nebo zaměstnávání.",The travel advisory is also a response to a new Missouri law that makes it harder to sue a company for discrimination in providing accommodations or employment.,The travel warning is also a response to a new Missouri law that would make it more difficult to sue a business for housing or employment discrimination.,0.8867377638816833
