file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama-3.1-70b-versatile_en-bn.csv,llama-3.1-70b-versatile,en-bn,en,bn,unspecified,"According to the schedule of the visit, a regular flight of Singapore Airlines carrying the President and his entourage members will take off from Hazrat Shahjalal International Airport.","সফরের সূচি অনুযায়ী, প্রেসিডেন্ট ও তাঁর অনুসরণকারীদের বহনকারী সিঙ্গাপুর এয়ারলাইন্সের একটি নিয়মিত ফ্লাইট হযরত শাহজালাল আন্তর্জাতিক বিমানবন্দর থেকে উড়ে যাবে।","সফরের সময়সূচি অনুযায়ী, সিঙ্গাপুর এয়ারলাইন্সের একটি নিয়মিত ফ্লাইট রাষ্ট্রপতি ও তার সফরসঙ্গীদের নিয়ে হজরত শাহজালাল আন্তর্জাতিক বিমানবন্দর থেকে উড্ডয়ন করবে।",0.9108126759529114
translations_llama-3.1-70b-versatile_en-bn.csv,llama-3.1-70b-versatile,en-bn,en,bn,unspecified,"Shahidul Haque said, in the meeting Prime Minister gave emphasis on peace and stability in the region to achieve the cherished goals of development.","শহিদুল হক বলেন, সভায় প্রধানমন্ত্রী উন্নয়নের প্রত্যাশিত লক্ষ্য অর্জনের জন্য অঞ্চলে শান্তি ও স্থিতিশীলতার ওপর জোর দিয়েছেন।","শহীদুল হক বলেন, বৈঠকে প্রধানমন্ত্রী উন্নয়নের কাঙ্ক্ষিত লক্ষ্য অর্জনে এই অঞ্চলে শান্তি ও স্থিতিশীলতার ওপর গুরুত্ব আরোপ করেন।",0.9459987878799438
translations_llama-3.1-70b-versatile_en-bn.csv,llama-3.1-70b-versatile,en-bn,en,bn,unspecified,The High Court has granted anticipatory bail to BNP standing committee member Moudud Ahmed and BNP's law affairs secretary advocate Sanaullah Mia in sabotage case.,উচ্চ আদালত বিএনপির স্থায়ী কমিটির সদস্য মওদুদ আহমেদ এবং বিএনপির আইন বিষয়ক সম্পাদক অ্যাডভোকেট সানাউল্লাহ মিয়াকে সাবোটেজ মামলায় জামিন মঞ্জুর করেছে।,নাশকতার মামলায় বিএনপির স্থায়ী কমিটির সদস্য ব্যারিস্টার মওদুদ আহমদ ও বিএনপির আইন বিষয়ক সম্পাদক অ্যাডভোকেট সানাউল্লাহ মিয়াকে আগাম জামিন দিয়েছেন হাইকোর্ট।,0.8946788907051086
translations_llama-3.1-70b-versatile_en-bn.csv,llama-3.1-70b-versatile,en-bn,en,bn,unspecified,They wished Sheikh Hasina good health and long life.,তারা শেখ হাসিনার জন্য ভালো স্বাস্থ্য ও দীর্ঘ জীবন কামনা করেছেন।,তারা শেখ হাসিনার সুস্বাস্থ্য ও দীর্ঘায়ু কামনা করেন।,0.9536396861076355
translations_llama-3.1-70b-versatile_en-bn.csv,llama-3.1-70b-versatile,en-bn,en,bn,unspecified,"The finance minister said, the World Bank never said that we would have growth more than 6.5 percent.","অর্থমন্ত্রী বলেছেন, বিশ্বব্যাংক কখনো বলেনি যে আমাদের ৬.৫ শতাংশের বেশি প্রবৃদ্ধি হবে।","অর্থমন্ত্রী বলেন, বিশ্বব্যাংক আমাদের কখনো সাড়ে ৬ ভাগের বেশি প্রবৃদ্ধি হবে বলত না।",0.9482364654541016
translations_llama-3.1-70b-versatile_en-bn.csv,llama-3.1-70b-versatile,en-bn,en,bn,unspecified,"At the same time, Bangladeshis living there have been asked to remain alert.",একই সাথে সেখানে বসবাসকারী বাংলাদেশীদের সতর্ক থাকার নির্দেশ দেওয়া হয়েছে।,একই সঙ্গে সেখানে বসবাসরত বাংলাদেশিদের সতর্ক থাকতে বলা হয়েছে।,0.9654875993728638
translations_llama-3.1-70b-versatile_en-bn.csv,llama-3.1-70b-versatile,en-bn,en,bn,unspecified,Deputy Director of the hospital Dr Laxmi Narayan Majumder confirmed this.,হাসপাতালের উপ-পরিচালক ডাঃ লক্ষ্মী নারায়ণ মজুমদার এটি নিশ্চিত করেছেন।,হাসপাতালের উপপরিচালক লক্ষ্মী নারায়ণ এটি নিশ্চিত করেছেন।,0.9513267874717712
translations_llama-3.1-70b-versatile_en-bn.csv,llama-3.1-70b-versatile,en-bn,en,bn,unspecified,Ambassador and Permanent Representative of Bangladesh to the World Tourism Organization Hassan Mahmood Khandker will receive the prime minister at the airport.,বিশ্ব পর্যটন সংস্থায় বাংলাদেশের রাষ্ট্রদূত ও স্থায়ী প্রতিনিধি হাসান মাহমুদ খন্দকার বিমানবন্দরে প্রধানমন্ত্রীকে অভ্যর্থন করবেন।,বিশ্ব পর্যটন সংস্থায় বাংলাদেশের স্থায়ী প্রতিনিধি এবং রাষ্ট্রদূত হাসান মাহমুদ খন্দকার বিমানবন্দরে প্রধানমন্ত্রীকে স্বাগত জানাবেন।,0.9367574453353882
translations_llama-3.1-70b-versatile_en-bn.csv,llama-3.1-70b-versatile,en-bn,en,bn,unspecified,"Nobody will be allowed to run casino business, Home Minister","কাসিনো ব্যবসা চালাতে কাউকে অনুমতি দেওয়া হবে না, গৃহমন্ত্রী","কাউকে ক্যাসিনো ব্যবসা করতে দেয়া হবে না , স্বরাষ্ট্রমন্ত্রী",0.9466375708580017
translations_llama-3.1-70b-versatile_en-bn.csv,llama-3.1-70b-versatile,en-bn,en,bn,unspecified,Walton is the first and only Bangladeshi mobile phone manufacturing company to achieve the feat.,ওয়ালটন প্রথম এবং একমাত্র বাংলাদেশী মোবাইল ফোন উৎপাদনকারী কোম্পানি যেটি এই অর্জনে পৌঁছেছে।,প্রথম ও একমাত্র বাংলাদেশী মোবাইল ফোন উৎপাদনকারী প্রতিষ্ঠান হিসেবে ওয়ালটন এই অর্জন করেছে।,0.9435555338859558
