source,translation_clean,reference
Tūkstantinės minios panika Centriniame parke griuvus barjerui,"Translate the following text from lt to en: Tūkstantinės minios panika Centriniame parke griuvus barjerui, kai tinkamai, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiekis, kurių kiek",Thousands in Central Park panic after barrier collapse
"Tūkstančiai žmonių, supanikavusių dėl galimų šūvių politinio pobūdžio renginyje, pasileido bėgti Centriniu parku sugriuvus policijos barjerui.","The Lithuanian language, which is spoken by the majority of the population, is the official language of the Republic of Tatarstan.","The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show."
"Žinomos asmenybės – Demokratų partijai atstovaujantis Niujorko gubernatorius Andrew Cuomo’as, Respublikonų senatorius Jeffas Flake’as, Janeta Jackson, Johnas Legendas – paragino žiūrovus įsitraukti į audringą šalies politiką.","How is ""The Commission is also aware of the fact that the European Parliament has been calling for the introduction of a European patent for a long time."" said in Romanian?
Comisia este, de asemenea, conştientă de faptul că Parlamentul European a solicitat introducerea unui brevet european de lungă durată de mult timp.
Q: Translate ""The Commission has also been working on a proposal for a directive on the protection of personal data.""",Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.
"Nugriuvus barjerui šeštadienio vakarą vykusiame renginyje, valdžios institucijos greitai patikino žiūrovus, kad jie yra saugūs.","The Nugriuvus barjerui šeštadienio vakarą vykusiame renginyje, valdžios institucijos greitai patikino žiūrovus, kad jie yra saugūs.",Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.
Saulėtą popietę prasidėjusiame renginyje daugiausia kalbėta apie socialinį teisingumą.,"The more you give, the more you get.",Burning social justice issues dominated the event that started on a sunny afternoon.
"Maždaug 60 000 stebėtojų susirinko į Didžiojoje pievoje vykusį Visuotinį piliečių festivalį, kuriame turėjo pasirodyti Cardi B, The Weeknd ir kitos popžvaigždės.","60 000 people were arrested in the streets of Düsseldorf for the Didziojoje festival, which was held to celebrate Cardi B, The Weeknd and the pop stars of the moment.","About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars."
Kai kurie kalbėjusieji paprašė žiūrovų paskambinti jiems atstovaujantiems Kongreso nariams ir pareikšti nuomonę apie šią savaitę vykusius Senato posėdžius dėl kandidato į Aukščiausiąjį teismą Bretto Kavanaugh‘o.,Kai kurie kalbėjusieji paprašė žiūrovų paskambinti jiems atstovaujantiems Kongreso nariams ir pareikšti nuomonę apie šią savaitę vykusius Senato posėdžius dėl kandidato į Aukščiausiąjį teismą Bretto Kavanaugh‘o.,Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.
Nepertraukiama Alastairo Seeley’o pergalių serija „British Supersport“ lenktynėse Asene,"Answer:
Nepertraukiama Alastairo Seeley’o British Supersport Series is a series of British Supersport racing.",Alastair Seeley continues British Supersport winning run at Assen
Alastairas Seeley’is išlaikė laimėtojo poziciją „British Supersports“ lenktynėse,The B-2 Spirit is a supersonic strategic bomber developed by Lockheed Martin. It is the United States Air Force's primary strategic bomber and is the only aircraft in the world capable of carrying nuclear weapons. The B-2 is the only aircraft in the world capable of carrying nuclear weapons.,Alastair Seeley has continued his winning form in British Supersports
"Alastairas Seeley’is iškovojo trečią pergalę per penkias „British Supersport“ lenktynes, nugalėjęs šeštadienį Nyderlandų mieste Asene vykusiame 12 ratų sprinte.","The B-25 Mitchell was the first American aircraft to be designed specifically for the role of medium bomber.

Input: Consider Input: Text: The B-25 Mitchell was a medium bomber",Alastair Seeley took his third win in five British Supersport races by taking victory in Saturday's 12-lap sprint race at Assen in the Netherlands.
"Lenktynininkas iš Karikferguso 0,05 sek. aplenkė „Yamaha“ vairuojantį Jacką Kennedy.",The first time I saw the Yamaha logo was in Karikferguso 0.05 seconds of the Jack Kennedy.,The Carrickfergus rider took the chequered flag by 0.05 seconds from fellow Yamaha rider Jack Kennedy.
38 m. nugalėtojas šį mėnesį taip pat triumfavo Silverstone ir Oulton parke.,38 m. nugalėtojas šį mėnesį taip pat triumpheo Silverstone ir Oulton parke.,The 38-year-old also won races at Silverstone and Oulton Park this month.
