Source,Reference,Translation
"সফরের সময়সূচি অনুযায়ী, সিঙ্গাপুর এয়ারলাইন্সের একটি নিয়মিত ফ্লাইট রাষ্ট্রপতি ও তার সফরসঙ্গীদের নিয়ে হজরত শাহজালাল আন্তর্জাতিক বিমানবন্দর থেকে উড্ডয়ন করবে।","According to the schedule of the visit, a regular flight of Singapore Airlines carrying the President and his entourage members will take off from Hazrat Shahjalal International Airport.","According to the tour schedule, a regular flight of Singapore Airlines will depart from Hazrat Shahjalal International Airport with the President and his entourage."
"শহীদুল হক বলেন, বৈঠকে প্রধানমন্ত্রী উন্নয়নের কাঙ্ক্ষিত লক্ষ্য অর্জনে এই অঞ্চলে শান্তি ও স্থিতিশীলতার ওপর গুরুত্ব আরোপ করেন।","Shahidul Haque said, in the meeting Prime Minister gave emphasis on peace and stability in the region to achieve the cherished goals of development.","Shahidul Haque said, in the meeting, the Prime Minister emphasized the importance of peace and stability in this region to achieve the desired development goals."
নাশকতার মামলায় বিএনপির স্থায়ী কমিটির সদস্য ব্যারিস্টার মওদুদ আহমদ ও বিএনপির আইন বিষয়ক সম্পাদক অ্যাডভোকেট সানাউল্লাহ মিয়াকে আগাম জামিন দিয়েছেন হাইকোর্ট।,The High Court has granted anticipatory bail to BNP standing committee member Moudud Ahmed and BNP's law affairs secretary advocate Sanaullah Mia in sabotage case.,The High Court has granted anticipatory bail to BNP's standing committee member Barrister Moudud Ahmed and BNP's law affairs secretary Advocate Sanaullah Miah in a sabotage case.
তারা শেখ হাসিনার সুস্বাস্থ্য ও দীর্ঘায়ু কামনা করেন।,They wished Sheikh Hasina good health and long life.,They wish good health and long life for Sheikh Hasina.
"অর্থমন্ত্রী বলেন, বিশ্বব্যাংক আমাদের কখনো সাড়ে ৬ ভাগের বেশি প্রবৃদ্ধি হবে বলত না।","The finance minister said, the World Bank never said that we would have growth more than 6.5 percent.","The Finance Minister said, the World Bank never said that we would have more than 6% growth."
একই সঙ্গে সেখানে বসবাসরত বাংলাদেশিদের সতর্ক থাকতে বলা হয়েছে।,"At the same time, Bangladeshis living there have been asked to remain alert.",Bangladeshis living there have also been asked to be cautious.
হাসপাতালের উপপরিচালক লক্ষ্মী নারায়ণ এটি নিশ্চিত করেছেন।,Deputy Director of the hospital Dr Laxmi Narayan Majumder confirmed this.,"The hospital's deputy director, Lakshmi Narayan, has confirmed this."
বিশ্ব পর্যটন সংস্থায় বাংলাদেশের স্থায়ী প্রতিনিধি এবং রাষ্ট্রদূত হাসান মাহমুদ খন্দকার বিমানবন্দরে প্রধানমন্ত্রীকে স্বাগত জানাবেন।,Ambassador and Permanent Representative of Bangladesh to the World Tourism Organization Hassan Mahmood Khandker will receive the prime minister at the airport.,"Bangladesh's Permanent Representative and Ambassador to the World Tourism Organization, Hassan Mahmud Khandaker, will welcome the Prime Minister at the airport."
"কাউকে ক্যাসিনো ব্যবসা করতে দেয়া হবে না , স্বরাষ্ট্রমন্ত্রী","Nobody will be allowed to run casino business, Home Minister","No one will be allowed to run casinos, Home Minister"
প্রথম ও একমাত্র বাংলাদেশী মোবাইল ফোন উৎপাদনকারী প্রতিষ্ঠান হিসেবে ওয়ালটন এই অর্জন করেছে।,Walton is the first and only Bangladeshi mobile phone manufacturing company to achieve the feat.,"As the first and only Bangladeshi mobile phone manufacturing company, Walton has achieved this."
তাদের ঢাকা মেডিক্যাল কলেজ হাসপাতালে নেওয়া হয়েছে।,They were taken to Dhaka Medical College Hospital.,They have been taken to Dhaka Medical College Hospital.
এদের মধ্যে রাশেদ খান মেননকে বেসামরিক বিমান পরিবহন ও পর্যটন মন্ত্রণালয় থেকে বদলি করে সমাজকল্যাণ মন্ত্রণালয়ে দেওয়া হয়েছে।,"Among them, Rashed Khan Menon has been transferred from the Ministry of Civil Aviation and Tourism to the Ministry of Social Welfare.","Among them, Rashid Khan Menon has been transferred from the Ministry of Civil Aviation and Tourism to the Ministry of Social Welfare."
বিশ্ববিদ্যালয় মঞ্জুরি কমিশনের (ইউজিসি) নতুন চেয়ারম্যান হয়েছেন ঢাকা বিশ্ববিদ্যালয়ের ইতিহাস বিভাগের সংখ্যাতিরিক্ত অধ্যাপক ড. কাজী শহীদুল্লাহ।,"Professor Dr Kazi Shahidullah, Supernumerary Professor of the Depatment of History of Dhaka University, has been appointed as new chairman of the University Grants Commission (UGC).","The new chairman of the University Grants Commission (UGC) is Dr. Kazi Shahidullah, an additional professor of the Department of History at the University of Dhaka."
বাংলাদেশী ভ্রমণকারীদের ভারতে যাওয়া-আসার বিধিনিষেধ অপসারণ,"Entry, exit restrictions to India for Bangladeshi travellers lifted",Restrictions on Bangladeshis traveling to and from India lifted
