source,translation_clean,reference
"সফরের সময়সূচি অনুযায়ী, সিঙ্গাপুর এয়ারলাইন্সের একটি নিয়মিত ফ্লাইট রাষ্ট্রপতি ও তার সফরসঙ্গীদের নিয়ে হজরত শাহজালাল আন্তর্জাতিক বিমানবন্দর থেকে উড্ডয়ন করবে।","According to the schedule, Singapore Airlines will operate a regular flight from Hazrat Shahjalal International Airport with the President of the country and his delegation.","According to the schedule of the visit, a regular flight of Singapore Airlines carrying the President and his entourage members will take off from Hazrat Shahjalal International Airport."
"শহীদুল হক বলেন, বৈঠকে প্রধানমন্ত্রী উন্নয়নের কাঙ্ক্ষিত লক্ষ্য অর্জনে এই অঞ্চলে শান্তি ও স্থিতিশীলতার ওপর গুরুত্ব আরোপ করেন।","Shaheedul Haque said, ""The Prime Minister has emphasized the importance of maintaining peace and stability in this region to achieve the goals of development.""","Shahidul Haque said, in the meeting Prime Minister gave emphasis on peace and stability in the region to achieve the cherished goals of development."
নাশকতার মামলায় বিএনপির স্থায়ী কমিটির সদস্য ব্যারিস্টার মওদুদ আহমদ ও বিএনপির আইন বিষয়ক সম্পাদক অ্যাডভোকেট সানাউল্লাহ মিয়াকে আগাম জামিন দিয়েছেন হাইকোর্ট।,"The High Court has issued an arrest warrant for Barrister Mahmud Ahmed, a member of the BNP's permanent committee, and Advocate Sanaulah Mia, the law affairs editor of the BNP, in a case related to subversive activities.",The High Court has granted anticipatory bail to BNP standing committee member Moudud Ahmed and BNP's law affairs secretary advocate Sanaullah Mia in sabotage case.
তারা শেখ হাসিনার সুস্বাস্থ্য ও দীর্ঘায়ু কামনা করেন।,They yearn for Hasan's good health and a long life.,They wished Sheikh Hasina good health and long life.
"অর্থমন্ত্রী বলেন, বিশ্বব্যাংক আমাদের কখনো সাড়ে ৬ ভাগের বেশি প্রবৃদ্ধি হবে বলত না।",The Finance Minister stated that the World Bank has never projected that our country's GDP would grow by more than 6% in the future.,"The finance minister said, the World Bank never said that we would have growth more than 6.5 percent."
একই সঙ্গে সেখানে বসবাসরত বাংলাদেশিদের সতর্ক থাকতে বলা হয়েছে।,"The text translates to:

""It has been advised that the people of Bangladesh living in that area should remain vigilant.""","At the same time, Bangladeshis living there have been asked to remain alert."
হাসপাতালের উপপরিচালক লক্ষ্মী নারায়ণ এটি নিশ্চিত করেছেন।,"The deputy director of the hospital, Lakshmi Narayan, has confirmed this.",Deputy Director of the hospital Dr Laxmi Narayan Majumder confirmed this.
বিশ্ব পর্যটন সংস্থায় বাংলাদেশের স্থায়ী প্রতিনিধি এবং রাষ্ট্রদূত হাসান মাহমুদ খন্দকার বিমানবন্দরে প্রধানমন্ত্রীকে স্বাগত জানাবেন।,"The World Tourism Organization delegation, led by its representative and ambassador Hasan Mahmud Khan, welcomed the Prime Minister at the airport.",Ambassador and Permanent Representative of Bangladesh to the World Tourism Organization Hassan Mahmood Khandker will receive the prime minister at the airport.
"কাউকে ক্যাসিনো ব্যবসা করতে দেয়া হবে না , স্বরাষ্ট্রমন্ত্রী","The government will not allow gambling business to operate, said the Health Minister.","Nobody will be allowed to run casino business, Home Minister"
প্রথম ও একমাত্র বাংলাদেশী মোবাইল ফোন উৎপাদনকারী প্রতিষ্ঠান হিসেবে ওয়ালটন এই অর্জন করেছে।,Walton has become the first and only mobile phone manufacturer in Bangladesh to achieve this milestone.,Walton is the first and only Bangladeshi mobile phone manufacturing company to achieve the feat.
তাদের ঢাকা মেডিক্যাল কলেজ হাসপাতালে নেওয়া হয়েছে।,They have been admitted to Dhaka Medical College Hospital.,They were taken to Dhaka Medical College Hospital.
এদের মধ্যে রাশেদ খান মেননকে বেসামরিক বিমান পরিবহন ও পর্যটন মন্ত্রণালয় থেকে বদলি করে সমাজকল্যাণ মন্ত্রণালয়ে দেওয়া হয়েছে।,"Among them, Raheed Khan Menon has been transferred from the Ministry of Civil Aviation and Tourism to the Ministry of Social Welfare.","Among them, Rashed Khan Menon has been transferred from the Ministry of Civil Aviation and Tourism to the Ministry of Social Welfare."
বিশ্ববিদ্যালয় মঞ্জুরি কমিশনের (ইউজিসি) নতুন চেয়ারম্যান হয়েছেন ঢাকা বিশ্ববিদ্যালয়ের ইতিহাস বিভাগের সংখ্যাতিরিক্ত অধ্যাপক ড. কাজী শহীদুল্লাহ।,"Dr. Kajee Shahidullah, a professor of the Department of History at Dhaka University, has been appointed as the new chairman of the University Grants Commission (UGC).","Professor Dr Kazi Shahidullah, Supernumerary Professor of the Depatment of History of Dhaka University, has been appointed as new chairman of the University Grants Commission (UGC)."
বাংলাদেশী ভ্রমণকারীদের ভারতে যাওয়া-আসার বিধিনিষেধ অপসারণ,Guidelines for the issuance of visas to Bangladeshi tourists entering and exiting India have been relaxed.,"Entry, exit restrictions to India for Bangladeshi travellers lifted"
"মেজর সিনহার হত্যাকান্ড যখন অবশেষে ক্ষমতাসীনদের নাড়িয়ে দিয়েছে, এটি সুস্পষ্ট যে সরকার তার নিরাপত্তা বাহিনীর মধ্যকার বিস্তৃত সমস্যা সমাধানের চেয়ে ঘটনাটি পাশ কাটিয়ে উঠতে বেশি আগ্রহী।","When Major Sinha's assassination attempt finally ended without harming the conspirators, it became evident that the government was more interested in solving the widespread problems within its security forces than in ensuring their safety.","While Major Sinha's killing has finally turned the heads of those in power, it's clear the government is more interested in moving past the incident than addressing a pervasive problem within its security forces."
মার্চ মাসে করোনাভাইরাস লকডাউন কর্যকর হবার পর ঢাকার বেশিরভাগ এলাকায় বইয়ের দোকানগুলি বন্ধ হয়ে যায়।,"After the imposition of the corona virus lockdown in March, most of the book shops in Dhaka have been forced to close down.",Most bookstores in Dhaka were closed when the Coronavirus lockdown was enforced in March.
অ্যামাজন বিডির কান্ট্রি ম্যানেজার শশাঙ্ক পান্ডে এবং ওয়ালটনের নির্বাহী পরিচালক ও কম্পিউটার পণ্য বিভাগের সিইও ইঞ্জিনিয়ার লিয়াকত আলী নিজ নিজ প্রতিষ্ঠানের পক্ষে চুক্তিতে সই করেন।,"In a recent development, Amazon Bidir Country Manager Sashak Panday and WalMart's Executive Vice President and CIO Engineer Liaquat Ali signed an agreement on behalf of their respective organizations.","Shashank Pandey, Country Manager of Amazon BD and Engineer Liakat Ali, Executive Director of Walton and CEO of Computer Products Division signed the agreement on behalf of their respective organizations."
"বঙ্গবন্ধুর দূরদর্শীপূর্ণ চিন্তা-ভাবনায় অনুপ্রাণিত হয়ে আমরা বিমসটেক, সার্ক, বিবিআইএন ও বিসিআইএমের মতো আঞ্চলিক সহযোগিতা অব্যাহত রেখেছি।","Inspired by the farsighted vision of Bangabandu, we at BIMSTEC, CIRCA, BBAN and BCIM have relentlessly continued our regional cooperation.","Inspired by Bangabandhu's visionary ideas, we are continuing to champion regional cooperation like BIMSTEC, SAARC, BBIN, BCIM."
"তিনি বলেন, দ্বন্দ্বের কারণে এই সুবিধাটি অস্ত্র বিক্রেতাদের কাছে যায়।","He said, ""Due to the conflict, this convenience goes to the arms dealers.""","Due to conflicts, the benefit goes to the arms sellers, she said."
"এছাড়া, সমাজকল্যাণ মন্ত্রণালয়ের প্রতিমন্ত্রী শরীফ আহমেদকে গৃহায়ণ ও গণপূর্ত মন্ত্রণালয়ের প্রতিমন্ত্রী করা হয়েছে।","Sharif Ahmed, the state minister of Social Welfare Department, has been appointed as the state minister of Housing and Public Works Department.","Besides, State Minister for Social Welfare Sharif Ahmed was made state minister for Housing and Public Works Ministry."
আমাদের প্রতি বছর আট লাখ টন পেঁয়াজ আমাদের আমদানি করতে হয় যার ৯০ ভাগ আসে ভারত থেকে।,"Every year, we import eight lakh tonnes of onions. Ninety percent of these onions come from India.","We are to import eight lakh tonnes of onions every year, of which 90 per cent are imported from India."
আমরা সন্ত্রাসীদের চিহ্নিত করা মাত্রই তাদের বিরুদ্ধে ত্বরিত পদক্ষেপ নিচ্ছি।,We are taking swift action only to mark the infiltrators.,We're taking prompt actions against the terrorists when they're identified.
"চীনের প্রধানমন্ত্রী বলেন, দুই দেশকে আলোচনার মাধ্যমে এই সমস্যার সমাধান বের করতে হবে।",The Prime Minister of China stated that the solution to this problem lies in dialogue and discussion between the two countries.,The Chinese premier said the two countries will have to find out a solution to this end through discussion.
