Source,Reference,Translation
બેરિયર ભાંગી ગયા પછી સેન્ટ્રલ પાર્કમાં હજારો ગભરાટમાં,Thousands in Central Park panic after barrier collapse,Translate the following text from gu to en: બેરિયર ભાંગી ગયા પછી સેન્ટ્રલ પાર્કમાં હજારો ગભરાટમાં પ્રદેશ્માં કેવાની રીતોના પ્રદેશ્માં પરિવર્ષ
શનિવારે સાંજે બેરીયર પડ્યા પછી અધિકારીઓએ ટોળાના લોકોને ખાતરી આપી કે તેઓ સલામત છે.,Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,Translate the following text from gu to en: શનિવારે સાંજે બેરીયર પડ્યા પછી અધિકારીઓએ ટોળાના લોકોને ખાતરી આપી કે તેઓ સલામત છે. પરિસ્ત્રીઓના કે ત
સામાજિક ન્યાયના સળગતા મુદ્દાઓએ તડકાની ખરા બપોરે શરૂ થયેલી ઘટના પર વર્ચસ્વ ઉભું કર્યું.,Burning social justice issues dominated the event that started on a sunny afternoon.,"Translate the following text from gu to en: સામાજિક ન્યાયના સળગતા મુદ્દાઓએ તડકાની ખરા બપોરે શરૂ થયેલી ઘટના પર વર્ચસ્વ ઉભું કર્યું.

Translation: The sacred temples of Saamanika are adorned with the vibrant colors of the traditional garments worn by the people."
"બીજી ઓક્ટોબરથી અન્ના હજારે કરશે ભૂખ હડતાળ, PM મોદીને લખ્યો પત્ર",Anna Hazare will go on hunger strike from 2nd October. He wrote a letter to PM Modi.,"Translate the following text from gu to en: બીજી ઓક્ટોબરથી અન્ના હજારે કરશે ભૂખ હડતાળ, PM મોદીને લખ્યો પત્રેશ્વીક્ષની પ્રદેશ્મની વિચાર્યની ��"
મહારાષ્ટ્ર: સામાજીક કાર્યકર્તા અન્ના હજારેએ બીજી ઓક્ટોબરથી ભૂખ હડતાળનું એલાન કર્યું છે.,Maharashtra: The social activist Anna Hazare has announced hunger strike from 2nd October.,"Translate the following text from gu to en: મહારાષ્ટ્ર: સામાજીક કાર્યકર્તા અન્ના હજારેએ બીજી ઓક્ટોબરથી ભૂખ હડતાળનું એલાન કર્યું છે.

Translation: The Maharashtrian Congress party has been elected to power in the state of Goa.



Here"
પરંતુ ચાર વર્ષ વીતી ગયા પણ સરકાર કોઈ ના કોઈ કારણથી લોકપાલ અને લોકાયુક્તની નિયુક્તિને ટાળી રહી છે.,Four years have passed but the government is avoiding electing Lokpal and Lokayukt for some reason or other.,"Translate the following text from gu to en: પરંતુ ચાર વર્ષ વીતી ગયા પણ સરકાર કોઈ ના કોઈ કારણથી લોકપાલ અને લોકાયુક્તની નિયુક્તિને ટાળી રહી છે.

Translation: The"
તમારી સરકાર આ આંદોલનના કારણે સત્તામાં આવી છે.,Your government has come to power due to this movement.,Translate the following text from gu to en: તમારી સરકાર આ આંદોલનના કારણે સત્તામાં આવી છે. તેમના પ્રદેશની પ્રદેશની પ્રદેશની પ્રદેશની �����������������������
જેને લઈને ખેડૂતો આત્મહત્યા કરી રહ્યા છે.,Because of which they are killing themselves.,Translate the following text from gu to en: જેને લઈને ખેડૂતો આત્મહત્યા કરી રહ્યા છે. પ્રદેશીને પ્રદેશીની પ્રદેશીની પ્રદેશીની પ્રદેશીની ��
"સિવિલ હોસ્પિટલમાંથી સુપ્રીટેન્ડેન્ટની કારની ચોરી ,જુઆે CCTV","Superintendent's car stolen from the civil hospital, watch CCTV.","Translate the following text from gu to en: સિવિલ હોસ્પિટલમાંથી સુપ્રીટેન્ડેન્ટની કારની ચોરી ,જુઆે CCTV સુપ્રીટેન્ડેન્ટની કારની પ્રદેશની �����"
"અમદાવાદનાં સરદારનગરમાં ""દેશી દારૂનો દરિયો"" ,અત્યાર સુધીની મહત્વની ખબરો જોવા અહીં ક્લિક કરો","Click here to see the Desi liquor in Sardar Nagar, Ahmedabad, and other important news.","Translate the following text from gu to en: અમદાવાદનાં સરદારનગરમાં ""દેશી દારૂનો દરિયો"" ,અત્યાર સુધીની મહત્વની ખબરો જોવા અહીં ક્લિક કરોડીઓના મહિ"
