file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_Qwen2.5-0.5B-Instruct_gu-en_original.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,original,બેરિયર ભાંગી ગયા પછી સેન્ટ્રલ પાર્કમાં હજારો ગભરાટમાં,"Translate the following text from gu to en: બેરિયર ભાંગી ગયા પછી સેન્ટ્રલ પાર્કમાં હજારો ગભરાટમાં ક્રેપણીઓ જેવી તરીકે એક શુંતર રેખાવાની વ્યક્તિઓ અને માહિતી દાધારિક શૌચાયામાં આવ્યો છે. આ ઉપયોગ કરવા માટે, ક્રેપણી�",Thousands in Central Park panic after barrier collapse,0.28720414638519287
translations_Qwen2.5-0.5B-Instruct_gu-en_original.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,original,એક રાજકીય કાર્યક્રમમાં પોલીસ બેરીયરના ભંગાણને કારણે સેન્ટ્રલ પાર્કમાં નાસભાગ કરતાં હજારો લોકો સંભવિત બંદૂકની ગોળીઓના ભયથી મુશ્કેલીમાં મુકાયા.,Translate the following text from gu to en: એક રાજકીય કાર્યક્રમમાં પોલીસ બેરીયરના ભંગાણને કારણે સેન્ટ્રલ પાર્કમાં નાસભાગ કરતાં હજારો લોકો સંભવિત બંદૂકની ગોળીઓના ભયથી મુશ્કેલીમાં મુકાયા. જે કાર્યક્રમ અને ઉપયો,"The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.",0.44875869154930115
translations_Qwen2.5-0.5B-Instruct_gu-en_original.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,original,શનિવારે સાંજે બેરીયર પડ્યા પછી અધિકારીઓએ ટોળાના લોકોને ખાતરી આપી કે તેઓ સલામત છે.,"Translate the following text from gu to en: શનિવારે સાંજે બેરીયર પડ્યા પછી અધિકારીઓએ ટોળાના લોકોને ખાતરી આપી કે તેઓ સલામત છે. જ્યારે દૃષણથી હાલા, મુખ્ય વિશેલિત છે અને જેવી ગયું છે. એન્હાર્ચની ભાગમાં રાખાવામા",Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,0.3893842399120331
translations_Qwen2.5-0.5B-Instruct_gu-en_original.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,original,સામાજિક ન્યાયના સળગતા મુદ્દાઓએ તડકાની ખરા બપોરે શરૂ થયેલી ઘટના પર વર્ચસ્વ ઉભું કર્યું.,Translate the following text from gu to en: સામાજિક ન્યાયના સળગતા મુદ્દાઓએ તડકાની ખરા બપોરે શરૂ થયેલી ઘટના પર વર્ચસ્વ ઉભું કર્યું. આ રચારને સામાજિક ન્યાયના પર અનુવાહ જોડા છે જેમાં ગણીઓ સામાજિક ન્યાયના મુદ્દાઓ,Burning social justice issues dominated the event that started on a sunny afternoon.,0.3492543697357178
translations_Qwen2.5-0.5B-Instruct_gu-en_original.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,original,"લગભગ 60,000 લોકોથી ગ્લોબલ સિટીઝન ફેસ્ટિવલ માટે પાર્કની ગ્રેટ લૉન ભરચક બની ગઈ, જેમાં કાર્ડી બી, ધ વીકન્ડ અને અન્ય પોપ સ્ટારની પણ રાહ જોવાતી હતી.","Translate the following text from gu to en: લગભગ 60,000 લોકોથી ગ્લોબલ સિટીઝન ફેસ્ટિવલ માટે પાર્કની ગ્રેટ લૉન ભરચક બની ગઈ, જેમાં કાર્ડી બી, ધ વીકન્ડ અને અન્ય પોપ સ્ટારની પણ રાહ જોવાતી હતી. આ ખેતી પ્રદર્શન છે તેમને એક �","About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.",0.47376734018325806
translations_Qwen2.5-0.5B-Instruct_gu-en_original.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,original,"બીજી ઓક્ટોબરથી અન્ના હજારે કરશે ભૂખ હડતાળ, PM મોદીને લખ્યો પત્ર","Translate the following text from gu to en: બીજી ઓક્ટોબરથી અન્ના હજારે કરશે ભૂખ હડતાળ, PM મોદીને લખ્યો પત્રીસુઓએ જેમાં આધિયા રહે છે. તૈયોને ચારા ઉપર ફોટરોનો ગ્રીષ્ઠી વિવાસ કરે છે જેમાં સાથેંટ રાજોનો અને તમારીઓ",Anna Hazare will go on hunger strike from 2nd October. He wrote a letter to PM Modi.,0.41065514087677
translations_Qwen2.5-0.5B-Instruct_gu-en_original.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,original,મહારાષ્ટ્ર: સામાજીક કાર્યકર્તા અન્ના હજારેએ બીજી ઓક્ટોબરથી ભૂખ હડતાળનું એલાન કર્યું છે.,"Translate the following text from gu to en: મહારાષ્ટ્ર: સામાજીક કાર્યકર્તા અન્ના હજારેએ બીજી ઓક્ટોબરથી ભૂખ હડતાળનું એલાન કર્યું છે. આપણે તેને વિવાદ રૂપણો પર એક ગુંગલાર જેમ છે, અને પૃધ્યાના પર ઉપયોગ ચેશો છે. તેને �",Maharashtra: The social activist Anna Hazare has announced hunger strike from 2nd October.,0.4107879400253296
translations_Qwen2.5-0.5B-Instruct_gu-en_original.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,original,અન્ના હજારેએ વડાપ્રધાન પર પ્રહાર કરતા કહ્યું કે ભાજપના નેતૃત્વવાળી સરકાર લોકપાલ આંદોલનના કારણે કેન્દ્રની સત્તામાં આવી છે.,Translate the following text from gu to en: અન્ના હજારેએ વડાપ્રધાન પર પ્રહાર કરતા કહ્યું કે ભાજપના નેતૃત્વવાળી સરકાર લોકપાલ આંદોલનના કારણે કેન્દ્રની સત્તામાં આવી છે. જે તેથી માટે ઓછા શોધીના ચાર ખ્યાલી બિંબના ર�,Anna Hazare has heavily criticized the Prime minister mentioning that BJP-led government has come to the power in the centre due to the Lokpal movement.,0.44693613052368164
translations_Qwen2.5-0.5B-Instruct_gu-en_original.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,original,પરંતુ ચાર વર્ષ વીતી ગયા પણ સરકાર કોઈ ના કોઈ કારણથી લોકપાલ અને લોકાયુક્તની નિયુક્તિને ટાળી રહી છે.,"Translate the following text from gu to en: પરંતુ ચાર વર્ષ વીતી ગયા પણ સરકાર કોઈ ના કોઈ કારણથી લોકપાલ અને લોકાયુક્તની નિયુક્તિને ટાળી રહી છે. તેમાં આવેલી શબ્દો માટે, આખો જગ્યાઓ ભૂફાડા પર એક વૈજિક સૌથી કેવી હોય છે અન",Four years have passed but the government is avoiding electing Lokpal and Lokayukt for some reason or other.,0.4574296176433563
translations_Qwen2.5-0.5B-Instruct_gu-en_original.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,original,તેમણે કહ્યું કે તે લોકપાલ નિયુક્તને લઈને બીજી ઓક્ટબરથી ભૂખ હડતાળ શરૂ કરશે અને તેઓ પોતાના આ નિર્ણય પર અડગ છે.,"Translate the following text from gu to en: તેમણે કહ્યું કે તે લોકપાલ નિયુક્તને લઈને બીજી ઓક્ટબરથી ભૂખ હડતાળ શરૂ કરશે અને તેઓ પોતાના આ નિર્ણય પર અડગ છે. જેમાં મુખ્ય સાથેની વિવાદીએ ગ્રામો ધરાવે છે, જેમાં માર્ચ અને �","He added that regarding the Lokpal election, he will go on hunger strike from 2nd October and he remains firm in his decision.",0.5063524842262268
translations_Qwen2.5-0.5B-Instruct_gu-en_original.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,original,"અન્ના હજારેએ વડાપ્રધાન મોદીને ગુરુવારે પત્ર લખીને આરોપ લગાવ્યો છે કે, ચાર વર્ષમાં સરકારે બહાનાબાજી કરી અને લોકપાલની નિયુક્તિ કરી નથી.","Translate the following text from gu to en: અન્ના હજારેએ વડાપ્રધાન મોદીને ગુરુવારે પત્ર લખીને આરોપ લગાવ્યો છે કે, ચાર વર્ષમાં સરકારે બહાનાબાજી કરી અને લોકપાલની નિયુક્તિ કરી નથી. તેઓ જેવી ભાગણ છે અને તેને શોધને ર�",Anna Hazare wrote a letter to PM Modi on Thursday alleging that in four years the government has just given excuses and has not appointed the Lokpal.,0.5014097690582275
