file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_OLMo-1B-0724-hf_lt-en_reverse.csv,OLMo-1B-0724-hf,lt-en,lt,en,reverse,Thousands in Central Park panic after barrier collapse,"Thousands of people in Central Park were evacuated after a barrier collapsed, sending a wall of water into the park.

Q: Complete:
(CNN) -- The U.S. military has been accused of using torture in the past, but the latest allegations of abuse in Iraq and Afghanistan are so egregious that they could lead to a criminal investigation, a senior U.S. official said. The allegations, which have been reported by the New York Times and other media outlets, include the use of waterboarding, a form of psychological torture, and the use of ""enhanced interrogation techniques"" such as sleep deprivation, sleep deprivation and sleep deprivation. The U.S. military has denied the allegations, saying that it has never used torture and that it has never used ""enhanced interrogation techniques.""
""The
OPTIONS:
- Afghanistan military has never used torture, and we have never used enhanced interrogation techniques,"" the official said.
- CNN military has never used torture, and we have never used enhanced interrogation techniques,"" the official said.
- New York Times military has never used torture, and we have never used enhanced interrogation techniques,""",Tūkstantinės minios panika Centriniame parke griuvus barjerui,0.3231285810470581
translations_OLMo-1B-0724-hf_lt-en_reverse.csv,OLMo-1B-0724-hf,lt-en,lt,en,reverse,"The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.","Answer:
The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.","Tūkstančiai žmonių, supanikavusių dėl galimų šūvių politinio pobūdžio renginyje, pasileido bėgti Centriniu parku sugriuvus policijos barjerui.",0.5346961617469788
translations_OLMo-1B-0724-hf_lt-en_reverse.csv,OLMo-1B-0724-hf,lt-en,lt,en,reverse,Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.,"Answer:
""We need to get out there and vote,"" said Janet Jackson, who was joined by John Legend and other celebrities at the Democratic National Convention in Charlotte, North Carolina.","Žinomos asmenybės – Demokratų partijai atstovaujantis Niujorko gubernatorius Andrew Cuomo’as, Respublikonų senatorius Jeffas Flake’as, Janeta Jackson, Johnas Legendas – paragino žiūrovus įsitraukti į audringą šalies politiką.",0.3716312050819397
translations_OLMo-1B-0724-hf_lt-en_reverse.csv,OLMo-1B-0724-hf,lt-en,lt,en,reverse,Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,"Answer:
Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.","Nugriuvus barjerui šeštadienio vakarą vykusiame renginyje, valdžios institucijos greitai patikino žiūrovus, kad jie yra saugūs.",0.5773964524269104
translations_OLMo-1B-0724-hf_lt-en_reverse.csv,OLMo-1B-0724-hf,lt-en,lt,en,reverse,Burning social justice issues dominated the event that started on a sunny afternoon.,"Answer:
The event that started on a sunny afternoon was dominated by burning social justice issues.",Saulėtą popietę prasidėjusiame renginyje daugiausia kalbėta apie socialinį teisingumą.,0.4437045753002167
translations_OLMo-1B-0724-hf_lt-en_reverse.csv,OLMo-1B-0724-hf,lt-en,lt,en,reverse,"About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.","Answer:
The festival, which was held in Central Park, drew about 60,000 people to the Great Lawn.","Maždaug 60 000 stebėtojų susirinko į Didžiojoje pievoje vykusį Visuotinį piliečių festivalį, kuriame turėjo pasirodyti Cardi B, The Weeknd ir kitos popžvaigždės.",0.37988340854644775
translations_OLMo-1B-0724-hf_lt-en_reverse.csv,OLMo-1B-0724-hf,lt-en,lt,en,reverse,Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.,"Answer:
Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.",Kai kurie kalbėjusieji paprašė žiūrovų paskambinti jiems atstovaujantiems Kongreso nariams ir pareikšti nuomonę apie šią savaitę vykusius Senato posėdžius dėl kandidato į Aukščiausiąjį teismą Bretto Kavanaugh‘o.,0.41644012928009033
translations_OLMo-1B-0724-hf_lt-en_reverse.csv,OLMo-1B-0724-hf,lt-en,lt,en,reverse,Alastair Seeley continues British Supersport winning run at Assen,"Alastair Seeley continued his British Supersport winning run at Assen on Sunday, taking his third victory of the season in the Dutch TT.",Nepertraukiama Alastairo Seeley’o pergalių serija „British Supersport“ lenktynėse Asene,0.5795114040374756
translations_OLMo-1B-0724-hf_lt-en_reverse.csv,OLMo-1B-0724-hf,lt-en,lt,en,reverse,Alastair Seeley has continued his winning form in British Supersports,"Answer:
Alastair Seeley has continued his winning form in British Supersports with a second successive victory at the Isle of Man TT.",Alastairas Seeley’is išlaikė laimėtojo poziciją „British Supersports“ lenktynėse,0.563107430934906
translations_OLMo-1B-0724-hf_lt-en_reverse.csv,OLMo-1B-0724-hf,lt-en,lt,en,reverse,Alastair Seeley took his third win in five British Supersport races by taking victory in Saturday's 12-lap sprint race at Assen in the Netherlands.,"OPTIONS:
- Assen was third, with the top five completed by Tom Sykes, Michael van der Mark and Michael van der Mark.
- British was third, with the top five completed by Tom Sykes, Michael van der Mark and Michael van der Mark.
- British Supersport was third, with the top five completed by Tom Sykes, Michael van der Mark and Michael van der Mark.
- Dutch was third, with the top five completed by Tom Sykes, Michael van der Mark and Michael van der Mark.
- Dutchman was third, with the top five completed by Tom Sykes, Michael van der Mark and Michael van der Mark.
- Dutch","Alastairas Seeley’is iškovojo trečią pergalę per penkias „British Supersport“ lenktynes, nugalėjęs šeštadienį Nyderlandų mieste Asene vykusiame 12 ratų sprinte.",0.31901296973228455
translations_OLMo-1B-0724-hf_lt-en_reverse.csv,OLMo-1B-0724-hf,lt-en,lt,en,reverse,The Carrickfergus rider took the chequered flag by 0.05 seconds from fellow Yamaha rider Jack Kennedy.,"By. James Rush. PUBLISHED:. 06:00 EST, 27 September 2013. |. UPDATED:. 06:00 EST, 27 September 2013. A British rider has won the first round of the British Superbike Championship at the Isle of Man TT. James Carrickfergus took the chequered flag by 0.05 seconds from fellow Yamaha rider Jack Kennedy. The Carrickfergus rider took the chequered flag by 0.05 seconds from fellow Yamaha rider Jack Kennedy. The Carrickfergus rider took the chequered flag by 0.05 seconds from fellow Yamaha rider Jack Kennedy. The Carrickfergus rider took the chequered flag by 0.05 seconds from fellow Yamaha rider Jack Kennedy. The Carrickfergus rider took the chequered flag by 0.05 seconds from fellow Yamaha rider Jack Kennedy. The Carrickfergus rider took the chequered flag by 0.05 seconds from fellow Yamaha rider Jack Kennedy. The Carrickfergus rider took the chequered flag by 0.05 seconds from fellow Yamaha","Lenktynininkas iš Karikferguso 0,05 sek. aplenkė „Yamaha“ vairuojantį Jacką Kennedy.",0.35921385884284973
translations_OLMo-1B-0724-hf_lt-en_reverse.csv,OLMo-1B-0724-hf,lt-en,lt,en,reverse,The 38-year-old also won races at Silverstone and Oulton Park this month.,"By. James Rush. PUBLISHED:. 06:00 EST, 27 September 2013. |. UPDATED:. 06:00 EST, 27 September 2013. The British Touring Car Championship has been hit by a double blow after the series announced it will not be returning to Silverstone next year. The race at the Northamptonshire circuit was due to take place on September 30 but organisers have now confirmed they will not be returning. The 38-year-old also won races at Silverstone and Oulton Park this month. The British Touring Car Championship has been hit by a double blow after the series announced it will not be returning to Silverstone next year. The race at the Northamptonshire circuit was due to take place on September 30 but organisers have now confirmed they will not be returning. The 38-year-old also won races at Silverstone and Oulton Park this month. The announcement comes just days after the series announced it would not be returning to Oulton Park next year. The race at the Northamptonshire circuit was",38 m. nugalėtojas šį mėnesį taip pat triumfavo Silverstone ir Oulton parke.,0.4235999286174774
