file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_OLMo-1B-0724-hf_cs-en_original.csv,OLMo-1B-0724-hf,cs-en,cs,en,original,Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri,"The Missouri Supreme Court has issued a stay of execution for the state's controversial ""stand your ground"" law, which was suspended in 2009.",Civil rights group issues travel warning for Missouri,0.5621467232704163
translations_OLMo-1B-0724-hf_cs-en_original.csv,OLMo-1B-0724-hf,cs-en,cs,en,original,Národní asociace pro zvýhodňování barevných lidí (NAACP) zveřejnila varování pro barevné lidi cestující do Missouri na základě diskriminačních zásad státu a rasistických útoků.,"All basic functions are based on the basic functions that are based on the basic functions.

Input: Consider Input: Text: Všechny základní funkce jsou založené na základních funkcí, které jsou založené na zá",The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,0.312296599149704
translations_OLMo-1B-0724-hf_cs-en_original.csv,OLMo-1B-0724-hf,cs-en,cs,en,original,"„Cestovní doporučení NAACP pro stát Missouri, s účinností od 28. srpna 2017, vyzývá afroamerické cestující, návštěvníky a obyvatele Missouri, aby při cestování napříč státem dbali zvýšené pozornosti v důsledku série sporných rasově motivovaných incidentů, ke kterým v současné době dochází v celém státu,“ stojí v prohlášení asociace.",Why is the majority of the law changing,"""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.",0.4055531322956085
translations_OLMo-1B-0724-hf_cs-en_original.csv,OLMo-1B-0724-hf,cs-en,cs,en,original,"NAACP uvedlo, že k tomuto kroku přistoupilo na základě současných zákonů státu Missouri, které znesnadňují obhajobu rasisticky motivovaných činů před soudem, stejně jako v důsledku jednání orgánů činných v trestním řízení, které nepřiměřeně cílí na menšiny.","The NAACP reported that it had reached a consensus on the next steps in the process, based on current state laws that violate the rights of people of color in Missouri, as well as the failure of the state to enforce laws that disproportionately target minorities.

Input: Consider Input: Naše zákonové zpravodaje, které jsou založené na zákonách, které jsou založené na zákonách, které jsou založené na zákonách, k","A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.",0.4384017586708069
translations_OLMo-1B-0724-hf_cs-en_original.csv,OLMo-1B-0724-hf,cs-en,cs,en,original,„Dochází k porušování občanských práv.,"Ačkoli jsem se zaslal na kabát a zářel na kabát.
****","""You have violations of civil rights that are happening to people.",0.2463161051273346
translations_OLMo-1B-0724-hf_cs-en_original.csv,OLMo-1B-0724-hf,cs-en,cs,en,original,"Lidé jsou zastavováni policisty jen kvůli barvě své pleti, jsou napadán nebo zabíjeni,“ uvedl pro Kansas City Star prezident NAACP pro Missouri Rod Chapel.","The lidé jsou zastavováni policisty jen kvůli barvě své pleti, jsou napadán nebo zabíjeni,“ uvedl pro Kansas City Star prezident NAACP pro Missouri Rod Chapel.","They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.",0.6963222026824951
translations_OLMo-1B-0724-hf_cs-en_original.csv,OLMo-1B-0724-hf,cs-en,cs,en,original,„Hromadí se nám dosud největší množství stížností.“,The most important thing is that we have a lot of problems.,We are hearing complaints at a rate we haven't heard before.,0.5148223042488098
translations_OLMo-1B-0724-hf_cs-en_original.csv,OLMo-1B-0724-hf,cs-en,cs,en,original,"Jedná se o první varování svého druhu, které organizace vydala pro stát USA.","All three of them are the basic things that you can learn, but they are not the three basic things.
****",It is the first such warning that the organization has issued for a state in the US.,0.3878297805786133
translations_OLMo-1B-0724-hf_cs-en_original.csv,OLMo-1B-0724-hf,cs-en,cs,en,original,"Mezi incidenty, které organizace citovala, byly rasově motivované nadávky směřované vůči studentům černé pleti na University of Missouri a smrt Toryho Sanderse, muže černé pleti z Tennessee.","In the middle of the incident, which the organization had publicized, there were motivated messages directed at students of the University of Missouri and the death of Tory Sanderse, a black student from Tennessee.","The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.",0.7263216376304626
translations_OLMo-1B-0724-hf_cs-en_original.csv,OLMo-1B-0724-hf,cs-en,cs,en,original,"Sanders zemřel za sporných okolností na začátku letošního roku poté,co mu při cestování napříč státem došel benzín a policie jej uvrhla do vazby bez obvinění ze spáchání zločinu.","The result is that all the basic information is changed, based","Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.",0.3905624747276306
translations_OLMo-1B-0724-hf_cs-en_original.csv,OLMo-1B-0724-hf,cs-en,cs,en,original,"Cestovní doporučení rovněž upozorňuje na nedávné prohlášení nejvyššího státního zastupitelství státu Missouri, které uvádí, že řidiči černé pleti mají o 75 % vyšší šanci, že je zastaví policie.","The report also recommends that the Government of the United States of America should take steps to ensure that the highest levels of the United States Government, including the President, the Secretary of State, the Secretary of Defense, the Secretary of the Treasury, the Secretary of the Interior, the Secretary of Health and Human Services, the Secretary of the Treasury, the Secretary of the Treasury, the Secretary of the Treasury, the Secretary of the Treasury, the Secretary of the Treasury, the Secretary of the Treasury, the Secretary of the Treasury, the Secretary of the Treasury, the Secretary of the Treasury, the Secretary of the Treasury, the Secretary of the Treasury, the Secretary of the Treasury, the Secretary of the Treasury, the Secretary of the Treasury, the Secretary of the Treasury",The advisory also points to a recent report by the Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.,0.3027212917804718
translations_OLMo-1B-0724-hf_cs-en_original.csv,OLMo-1B-0724-hf,cs-en,cs,en,original,"„Účelem cestovního doporučení je upozorňovat lidi a varovat jejich rodiny, přátele a spolupracovníky před tím, co by se mohlo přihodit v Missouri,“ řekl Chapel.","The purpose of the recommendation is to alert people and their families, friends and co-workers to the dangers of the drug and to warn them of the consequences of using it before it is too late in Missouri.","""The advisory is for people to be aware, and warn their families and friends and co-workers of what could happen in Missouri,"" Chapel said.",0.7365161776542664
translations_OLMo-1B-0724-hf_cs-en_original.csv,OLMo-1B-0724-hf,cs-en,cs,en,original,"„Lidé musejí být připraveni - měli by s sebou vozit peníze na případnou úhradu kauce nebo upozornit své příbuzné, že se chystají cestovat státem.“","Translate this to English?
[A]:
The question is: „Are they ready to be ready?“","People need to be ready, whether it's bringing bail money with them, or letting relatives know they are traveling through the state.",0.43555334210395813
