file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_gemma-7b-it_fi-en.csv,gemma-7b-it,fi-en,fi,en,unspecified,"Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa""","Camille Auer wants to correct her gender, she was diagnosed with gender dysphoria and now she is making art about the issue - ""People should have the right to their own bodies.""","Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body""",0.8880600929260254
translations_gemma-7b-it_fi-en.csv,gemma-7b-it,fi-en,fi,en,unspecified,Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.,"In the Project room of the Kuvataideakatemian Gallery, dozens of patient narratives hang from the ceiling.",Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.,0.782062292098999
translations_gemma-7b-it_fi-en.csv,gemma-7b-it,fi-en,fi,en,unspecified,Jokaisessa niissä lukee Camille Auerin nimi.,"In all of them, Camille Auerin name reads.",The name of Camille Auer is written on every one of them.,0.714103102684021
translations_gemma-7b-it_fi-en.csv,gemma-7b-it,fi-en,fi,en,unspecified,"Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä.",The papers tell a multi-year story about how outsiders have written their interpretations of Auer and his identity.,The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –,0.8458231091499329
translations_gemma-7b-it_fi-en.csv,gemma-7b-it,fi-en,fi,en,unspecified,Päättäneet hänen puolestaan kuka hän on.,They have decided who he is in relation to her.,decided on who she is on her behalf.,0.7319481372833252
translations_gemma-7b-it_fi-en.csv,gemma-7b-it,fi-en,fi,en,unspecified,"""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo.","""The process's violence becomes visible when I tell you about the individual patient's medical history,"" Auer says.","""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says.",0.8038423657417297
translations_gemma-7b-it_fi-en.csv,gemma-7b-it,fi-en,fi,en,unspecified,Prosessilla hän viittaa sukupuolenkorjausprosessiin.,"In the process, he refers to the gender correction process.","Here, ""process"" refers to her sex reassignment procedure.",0.7837180495262146
translations_gemma-7b-it_fi-en.csv,gemma-7b-it,fi-en,fi,en,unspecified,"Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä.","The process starts with an examination for ""gender identity disorder"", which is conducted in Tampere and Helsinki.",The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.,0.8836207985877991
translations_gemma-7b-it_fi-en.csv,gemma-7b-it,fi-en,fi,en,unspecified,Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.,The process started four years ago at dawn.,Auer's process started four years ago.,0.6417737603187561
translations_gemma-7b-it_fi-en.csv,gemma-7b-it,fi-en,fi,en,unspecified,Jo ennen tätä hän oli käyttänyt internetin kautta tilaamaansa estrogeeniä ja oli muutenkin hyvin pitkällä omassa korjausprosessissaan.,"Before this, he had already used estrogen through the internet and was otherwise well advanced in their own recovery process.","Before this, she had already been using oestrogen ordered from the internet and was also otherwise far in her own reassignment procedure.",0.8079138398170471
