source,translation_clean,reference
બેરિયર ભાંગી ગયા પછી સેન્ટ્રલ પાર્કમાં હજારો ગભરાટમાં,"In the last few years, the number of people who have died in the accident has increased.

Ex Input:
પ્રધાનમંત્રીએ જણાવ્યું હતું કે, આ પ્રકારનાં સંપૂર્ણ વિકાસની પ્�",Thousands in Central Park panic after barrier collapse
એક રાજકીય કાર્યક્રમમાં પોલીસ બેરીયરના ભંગાણને કારણે સેન્ટ્રલ પાર્કમાં નાસભાગ કરતાં હજારો લોકો સંભવિત બંદૂકની ગોળીઓના ભયથી મુશ્કેલીમાં મુકાયા.,"A man is standing in a room with a sign that says, 'A man is standing","The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show."
શનિવારે સાંજે બેરીયર પડ્યા પછી અધિકારીઓએ ટોળાના લોકોને ખાતરી આપી કે તેઓ સલામત છે.,"The judge ordered the two men to stand trial for the murder of the woman, who was found dead in her home in the town of Sajjevar, in the south of the country.",Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.
સામાજિક ન્યાયના સળગતા મુદ્દાઓએ તડકાની ખરા બપોરે શરૂ થયેલી ઘટના પર વર્ચસ્વ ઉભું કર્યું.,The Union Cabinet chaired by Prime Minister Shri Narendra Modi has approved the signing of the Agreement between the Government of India and the Government of the Republic of Korea for the establishment of the India-South Korea Joint Commission for Cooperation in the Field of Science and Technology.,Burning social justice issues dominated the event that started on a sunny afternoon.
"લગભગ 60,000 લોકોથી ગ્લોબલ સિટીઝન ફેસ્ટિવલ માટે પાર્કની ગ્રેટ લૉન ભરચક બની ગઈ, જેમાં કાર્ડી બી, ધ વીકન્ડ અને અન્ય પોપ સ્ટારની પણ રાહ જોવાતી હતી.","The Government of India has decided to provide a grant of Rs 60,000 to each of the 60,000 LPG cylinders sold through the Government-","About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars."
"બીજી ઓક્ટોબરથી અન્ના હજારે કરશે ભૂખ હડતાળ, PM મોદીને લખ્યો પત્ર",The Prime Minister said that the government will take steps to ensure that the bill is passed in the House.,Anna Hazare will go on hunger strike from 2nd October. He wrote a letter to PM Modi.
મહારાષ્ટ્ર: સામાજીક કાર્યકર્તા અન્ના હજારેએ બીજી ઓક્ટોબરથી ભૂખ હડતાળનું એલાન કર્યું છે.,The Indian Army has been awarded the prestigious George Cross for its gallantry in the Kargil War.,Maharashtra: The social activist Anna Hazare has announced hunger strike from 2nd October.
અન્ના હજારેએ વડાપ્રધાન પર પ્રહાર કરતા કહ્યું કે ભાજપના નેતૃત્વવાળી સરકાર લોકપાલ આંદોલનના કારણે કેન્દ્રની સત્તામાં આવી છે.,The President said that the Government of India has taken a number of steps to promote the culture of national unity and harmony.,Anna Hazare has heavily criticized the Prime minister mentioning that BJP-led government has come to the power in the centre due to the Lokpal movement.
પરંતુ ચાર વર્ષ વીતી ગયા પણ સરકાર કોઈ ના કોઈ કારણથી લોકપાલ અને લોકાયુક્તની નિયુક્તિને ટાળી રહી છે.,"Translate the following text from gu to en: પરંતુ ચાર વર્ષ વીતી ગયા પણ સરકાર કોઈ ના કોઈ કારણથી લોકપાલ અને લોકાયુક્તની નિયુક્તિને ટાળી રહી છે.

[EX Q]: આ પ્રકારની સંખ્યામાં આવેલી વિવિધ પરિવર્તન પર આવેલી વિવિધ �",Four years have passed but the government is avoiding electing Lokpal and Lokayukt for some reason or other.
તેમણે કહ્યું કે તે લોકપાલ નિયુક્તને લઈને બીજી ઓક્ટબરથી ભૂખ હડતાળ શરૂ કરશે અને તેઓ પોતાના આ નિર્ણય પર અડગ છે.,I am sure that the people of the North East will be happy to see the progress of the project and the people of the North East will be happy to see the progress of the project.,"He added that regarding the Lokpal election, he will go on hunger strike from 2nd October and he remains firm in his decision."
