file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama3-groq-8b-8192-tool-use-preview_en-bn.csv,llama3-groq-8b-8192-tool-use-preview,en-bn,en,bn,unspecified,"According to the schedule of the visit, a regular flight of Singapore Airlines carrying the President and his entourage members will take off from Hazrat Shahjalal International Airport.","ভিজিটের সময়সূচী অনুসারে, সিঙ্গাপুর এয়ারলাইন্সের একটি স্থির উড়োজাহাজ রাষ্ট্রপতি এবং তার সংস্থানভূক্ত সদস্যদের নিয়ে হাজারত শাহজালাল আন্তর্জাতিক বিমানবন্দর থেকে বের হবে।","সফরের সময়সূচি অনুযায়ী, সিঙ্গাপুর এয়ারলাইন্সের একটি নিয়মিত ফ্লাইট রাষ্ট্রপতি ও তার সফরসঙ্গীদের নিয়ে হজরত শাহজালাল আন্তর্জাতিক বিমানবন্দর থেকে উড্ডয়ন করবে।",0.8130047917366028
translations_llama3-groq-8b-8192-tool-use-preview_en-bn.csv,llama3-groq-8b-8192-tool-use-preview,en-bn,en,bn,unspecified,"Shahidul Haque said, in the meeting Prime Minister gave emphasis on peace and stability in the region to achieve the cherished goals of development.","শাহিদুল হক বলেন, সভায় প্রধানমন্ত্রী অঞ্চলে শান্তি ও স্থিতিশীলতা অর্জনের জন্য উন্নয়নের আকাঙ্ক্ষিত লক্ষ্য সাধনের উপর গুরুত্ব দিয়েছেন।","শহীদুল হক বলেন, বৈঠকে প্রধানমন্ত্রী উন্নয়নের কাঙ্ক্ষিত লক্ষ্য অর্জনে এই অঞ্চলে শান্তি ও স্থিতিশীলতার ওপর গুরুত্ব আরোপ করেন।",0.9382322430610657
translations_llama3-groq-8b-8192-tool-use-preview_en-bn.csv,llama3-groq-8b-8192-tool-use-preview,en-bn,en,bn,unspecified,The High Court has granted anticipatory bail to BNP standing committee member Moudud Ahmed and BNP's law affairs secretary advocate Sanaullah Mia in sabotage case.,হাই কোর্ট সাবানিটোরি বেইল দিয়েছে বিএনপির স্থায়ী কমিটির সদস্য মৌদুদ আহমেদ এবং বিএনপির আইন বিষয়ক সম্পাদক আইনজীবী সানাউল্লাহ মিয়া সাবোটেজ মামলায়।,নাশকতার মামলায় বিএনপির স্থায়ী কমিটির সদস্য ব্যারিস্টার মওদুদ আহমদ ও বিএনপির আইন বিষয়ক সম্পাদক অ্যাডভোকেট সানাউল্লাহ মিয়াকে আগাম জামিন দিয়েছেন হাইকোর্ট।,0.7220986485481262
translations_llama3-groq-8b-8192-tool-use-preview_en-bn.csv,llama3-groq-8b-8192-tool-use-preview,en-bn,en,bn,unspecified,They wished Sheikh Hasina good health and long life.,তারা শেখ হাসিনাকে ভাল স্বাস্থ্য এবং দীর্ঘায়ু কামনা করেছে।,তারা শেখ হাসিনার সুস্বাস্থ্য ও দীর্ঘায়ু কামনা করেন।,0.9521182775497437
translations_llama3-groq-8b-8192-tool-use-preview_en-bn.csv,llama3-groq-8b-8192-tool-use-preview,en-bn,en,bn,unspecified,"The finance minister said, the World Bank never said that we would have growth more than 6.5 percent.","দেশের অর্থমন্ত্রী বলেছেন, বিশ্বব্যাংক কখনও আমাদের ক্ষেত্রে ৬.৫ শতাংশের বেশি বৃদ্ধি হবে বলে নির্দেশ করেনি।","অর্থমন্ত্রী বলেন, বিশ্বব্যাংক আমাদের কখনো সাড়ে ৬ ভাগের বেশি প্রবৃদ্ধি হবে বলত না।",0.8602102398872375
translations_llama3-groq-8b-8192-tool-use-preview_en-bn.csv,llama3-groq-8b-8192-tool-use-preview,en-bn,en,bn,unspecified,"At the same time, Bangladeshis living there have been asked to remain alert.","একই সময়ে, সেখানে বাংলাদেশিরা সতর্ক থাকার জন্য অনুরোধ করা হয়েছে।",একই সঙ্গে সেখানে বসবাসরত বাংলাদেশিদের সতর্ক থাকতে বলা হয়েছে।,0.9129963517189026
translations_llama3-groq-8b-8192-tool-use-preview_en-bn.csv,llama3-groq-8b-8192-tool-use-preview,en-bn,en,bn,unspecified,Deputy Director of the hospital Dr Laxmi Narayan Majumder confirmed this.,হাসপাতালের সহকারী পরিচালক ডক্টর লক্ষ্মী নারায়ণ মজুমদার এটা নিশ্চিত করেছেন।,হাসপাতালের উপপরিচালক লক্ষ্মী নারায়ণ এটি নিশ্চিত করেছেন।,0.9417145848274231
translations_llama3-groq-8b-8192-tool-use-preview_en-bn.csv,llama3-groq-8b-8192-tool-use-preview,en-bn,en,bn,unspecified,Ambassador and Permanent Representative of Bangladesh to the World Tourism Organization Hassan Mahmood Khandker will receive the prime minister at the airport.,বাংলাদেশের বিশ্ব পর্যটন সংস্থায় স্থায়ী প্রতিনিধি হাসান মাহমুদ খন্দকার প্রধানমন্ত্রীকে বিমানবন্দরে স্বাগত জানাবেন।,বিশ্ব পর্যটন সংস্থায় বাংলাদেশের স্থায়ী প্রতিনিধি এবং রাষ্ট্রদূত হাসান মাহমুদ খন্দকার বিমানবন্দরে প্রধানমন্ত্রীকে স্বাগত জানাবেন।,0.9498549699783325
translations_llama3-groq-8b-8192-tool-use-preview_en-bn.csv,llama3-groq-8b-8192-tool-use-preview,en-bn,en,bn,unspecified,"Nobody will be allowed to run casino business, Home Minister","কারো ক্যাসিনো ব্যবসা চালানো হবে না, হোম মিনিস্টার","কাউকে ক্যাসিনো ব্যবসা করতে দেয়া হবে না , স্বরাষ্ট্রমন্ত্রী",0.8916444182395935
translations_llama3-groq-8b-8192-tool-use-preview_en-bn.csv,llama3-groq-8b-8192-tool-use-preview,en-bn,en,bn,unspecified,Walton is the first and only Bangladeshi mobile phone manufacturing company to achieve the feat.,ওয়ালটন হল বাংলাদেশের একমাত্র মোবাইল ফোন প্রস্তুতকারণ কোম্পানি যেটি এই সাফল্য অর্জন করেছে।,প্রথম ও একমাত্র বাংলাদেশী মোবাইল ফোন উৎপাদনকারী প্রতিষ্ঠান হিসেবে ওয়ালটন এই অর্জন করেছে।,0.9365850687026978
translations_llama3-groq-8b-8192-tool-use-preview_en-bn.csv,llama3-groq-8b-8192-tool-use-preview,en-bn,en,bn,unspecified,They were taken to Dhaka Medical College Hospital.,তারা ঢাকা মেডিক্যাল কলেজ হাসপাতালে নিয়ে গেলেন।,তাদের ঢাকা মেডিক্যাল কলেজ হাসপাতালে নেওয়া হয়েছে।,0.9410777688026428
