file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_OLMo-1B-0724-hf_cs-en_reverse.csv,OLMo-1B-0724-hf,cs-en,cs,en,reverse,Civil rights group issues travel warning for Missouri,"translation: We tried to make lyrics as correct as possible, however if you",Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri,0.24332177639007568
translations_OLMo-1B-0724-hf_cs-en_reverse.csv,OLMo-1B-0724-hf,cs-en,cs,en,reverse,The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,"Answer:
A National Association for the Advancement of Colored People (NAACP) avertit la population de color de la Missouri de voyager en raison des politiques discriminatoires et des attaques racistes de ce gouvernement.",Národní asociace pro zvýhodňování barevných lidí (NAACP) zveřejnila varování pro barevné lidi cestující do Missouri na základě diskriminačních zásad státu a rasistických útoků.,0.4044243395328522
translations_OLMo-1B-0724-hf_cs-en_reverse.csv,OLMo-1B-0724-hf,cs-en,cs,en,reverse,"""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.","Answer:
""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.","„Cestovní doporučení NAACP pro stát Missouri, s účinností od 28. srpna 2017, vyzývá afroamerické cestující, návštěvníky a obyvatele Missouri, aby při cestování napříč státem dbali zvýšené pozornosti v důsledku série sporných rasově motivovaných incidentů, ke kterým v současné době dochází v celém státu,“ stojí v prohlášení asociace.",0.4598667621612549
translations_OLMo-1B-0724-hf_cs-en_reverse.csv,OLMo-1B-0724-hf,cs-en,cs,en,reverse,"A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.","Answer:
A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.","NAACP uvedlo, že k tomuto kroku přistoupilo na základě současných zákonů státu Missouri, které znesnadňují obhajobu rasisticky motivovaných činů před soudem, stejně jako v důsledku jednání orgánů činných v trestním řízení, které nepřiměřeně cílí na menšiny.",0.38060837984085083
translations_OLMo-1B-0724-hf_cs-en_reverse.csv,OLMo-1B-0724-hf,cs-en,cs,en,reverse,"""You have violations of civil rights that are happening to people.","Translate the following text from en to cs: ""You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil",„Dochází k porušování občanských práv.,0.3188326358795166
translations_OLMo-1B-0724-hf_cs-en_reverse.csv,OLMo-1B-0724-hf,cs-en,cs,en,reverse,"They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.","Answer:
""They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.","Lidé jsou zastavováni policisty jen kvůli barvě své pleti, jsou napadán nebo zabíjeni,“ uvedl pro Kansas City Star prezident NAACP pro Missouri Rod Chapel.",0.5679288506507874
translations_OLMo-1B-0724-hf_cs-en_reverse.csv,OLMo-1B-0724-hf,cs-en,cs,en,reverse,We are hearing complaints at a rate we haven't heard before.,"Translate the following text from en to cs: ""We are hearing complaints at a rate we haven't heard before.""",„Hromadí se nám dosud největší množství stížností.“,0.38180097937583923
translations_OLMo-1B-0724-hf_cs-en_reverse.csv,OLMo-1B-0724-hf,cs-en,cs,en,reverse,It is the first such warning that the organization has issued for a state in the US.,Translate the following text from en to cs: It is the first such warning that the organization has issued for a state in the US.,"Jedná se o první varování svého druhu, které organizace vydala pro stát USA.",0.42548370361328125
translations_OLMo-1B-0724-hf_cs-en_reverse.csv,OLMo-1B-0724-hf,cs-en,cs,en,reverse,"The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.","Answer:
A group of black students at the University of Missouri have accused the school of racism after a white student was arrested for allegedly making a racial slur against them.","Mezi incidenty, které organizace citovala, byly rasově motivované nadávky směřované vůči studentům černé pleti na University of Missouri a smrt Toryho Sanderse, muže černé pleti z Tennessee.",0.46780136227607727
translations_OLMo-1B-0724-hf_cs-en_reverse.csv,OLMo-1B-0724-hf,cs-en,cs,en,reverse,"Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.","Answer:
Sanders, unul din cei mai importanţi membri ai partidului, a murit într-un accident de călătorie în timpul unei vizite în statele membre ale Uniunii Europene, iar acesta a fost arestat de poliţia macedoneană fără a fi acuzat de un crime.","Sanders zemřel za sporných okolností na začátku letošního roku poté,co mu při cestování napříč státem došel benzín a policie jej uvrhla do vazby bez obvinění ze spáchání zločinu.",0.491918683052063
