source,translation_clean,reference
"সফরের সময়সূচি অনুযায়ী, সিঙ্গাপুর এয়ারলাইন্সের একটি নিয়মিত ফ্লাইট রাষ্ট্রপতি ও তার সফরসঙ্গীদের নিয়ে হজরত শাহজালাল আন্তর্জাতিক বিমানবন্দর থেকে উড্ডয়ন করবে।","The flight schedule according to the travel plan, Singapore Airlines will operate a regular flight carrying the President and his entourage from Hazrat Shahjalal International Airport.","According to the schedule of the visit, a regular flight of Singapore Airlines carrying the President and his entourage members will take off from Hazrat Shahjalal International Airport."
"শহীদুল হক বলেন, বৈঠকে প্রধানমন্ত্রী উন্নয়নের কাঙ্ক্ষিত লক্ষ্য অর্জনে এই অঞ্চলে শান্তি ও স্থিতিশীলতার ওপর গুরুত্ব আরোপ করেন।","Shaheedul Haque said, ""The Prime Minister emphasized the importance of peace and stability in achieving the desired development goals in this region during the meeting.""","Shahidul Haque said, in the meeting Prime Minister gave emphasis on peace and stability in the region to achieve the cherished goals of development."
নাশকতার মামলায় বিএনপির স্থায়ী কমিটির সদস্য ব্যারিস্টার মওদুদ আহমদ ও বিএনপির আইন বিষয়ক সম্পাদক অ্যাডভোকেট সানাউল্লাহ মিয়াকে আগাম জামিন দিয়েছেন হাইকোর্ট।,"The High Court has granted anticipatory bail to Barrister Maodud Ahmed, a member of the permanent committee of the BNP, and Advocate Sanauallah Mia, the law affairs secretary of the BNP, in the case related to the destruction.",The High Court has granted anticipatory bail to BNP standing committee member Moudud Ahmed and BNP's law affairs secretary advocate Sanaullah Mia in sabotage case.
তারা শেখ হাসিনার সুস্বাস্থ্য ও দীর্ঘায়ু কামনা করেন।,"The translation of the Bengali text ""তারা শেখ হাসিনার সুস্বাস্থ্য ও দীর্ঘায়ু কামনা করেন"" to English is ""They wish for the good health and longevity of Sheikh Hasina.""",They wished Sheikh Hasina good health and long life.
"অর্থমন্ত্রী বলেন, বিশ্বব্যাংক আমাদের কখনো সাড়ে ৬ ভাগের বেশি প্রবৃদ্ধি হবে বলত না।","The Minister of Finance said, ""The World Bank never told us that our growth would exceed 6%.""","The finance minister said, the World Bank never said that we would have growth more than 6.5 percent."
একই সঙ্গে সেখানে বসবাসরত বাংলাদেশিদের সতর্ক থাকতে বলা হয়েছে।,"The translation of the Bengali text is: ""It has been advised to be cautious for Bangladeshis living there at the same time.""","At the same time, Bangladeshis living there have been asked to remain alert."
হাসপাতালের উপপরিচালক লক্ষ্মী নারায়ণ এটি নিশ্চিত করেছেন।,"The hospital's deputy director, Lakshmi Narayan, has confirmed this.",Deputy Director of the hospital Dr Laxmi Narayan Majumder confirmed this.
বিশ্ব পর্যটন সংস্থায় বাংলাদেশের স্থায়ী প্রতিনিধি এবং রাষ্ট্রদূত হাসান মাহমুদ খন্দকার বিমানবন্দরে প্রধানমন্ত্রীকে স্বাগত জানাবেন।,"The permanent representative and ambassador of Bangladesh to the World Tourism Organization, Hasan Mahmud Khan, will welcome the Prime Minister at the airport.",Ambassador and Permanent Representative of Bangladesh to the World Tourism Organization Hassan Mahmood Khandker will receive the prime minister at the airport.
"কাউকে ক্যাসিনো ব্যবসা করতে দেয়া হবে না , স্বরাষ্ট্রমন্ত্রী","The translation of the Bengali text is: ""No one will be allowed to run a casino business, the Home Minister.""","Nobody will be allowed to run casino business, Home Minister"
প্রথম ও একমাত্র বাংলাদেশী মোবাইল ফোন উৎপাদনকারী প্রতিষ্ঠান হিসেবে ওয়ালটন এই অর্জন করেছে।,"The translation of the Bengali text is: ""Walt is the first and only Bangladeshi mobile phone manufacturer.""",Walton is the first and only Bangladeshi mobile phone manufacturing company to achieve the feat.
তাদের ঢাকা মেডিক্যাল কলেজ হাসপাতালে নেওয়া হয়েছে।,"The text translates to: ""They have been admitted to the Dhaka Medical College Hospital.""",They were taken to Dhaka Medical College Hospital.
এদের মধ্যে রাশেদ খান মেননকে বেসামরিক বিমান পরিবহন ও পর্যটন মন্ত্রণালয় থেকে বদলি করে সমাজকল্যাণ মন্ত্রণালয়ে দেওয়া হয়েছে।,Rashed Khan Menon has been transferred from the Civil Aviation and Tourism Ministry to the Social Welfare Ministry.,"Among them, Rashed Khan Menon has been transferred from the Ministry of Civil Aviation and Tourism to the Ministry of Social Welfare."
বিশ্ববিদ্যালয় মঞ্জুরি কমিশনের (ইউজিসি) নতুন চেয়ারম্যান হয়েছেন ঢাকা বিশ্ববিদ্যালয়ের ইতিহাস বিভাগের সংখ্যাতিরিক্ত অধ্যাপক ড. কাজী শহীদুল্লাহ।,"The new chairman of the University Grants Commission (UGC) has been appointed. Dr. Kazi Shahidullah, a professor from the History Department of Dhaka University, has taken up the position.","Professor Dr Kazi Shahidullah, Supernumerary Professor of the Depatment of History of Dhaka University, has been appointed as new chairman of the University Grants Commission (UGC)."
বাংলাদেশী ভ্রমণকারীদের ভারতে যাওয়া-আসার বিধিনিষেধ অপসারণ,"The translation of the Bengali text is: ""Removal of restrictions for Bangladeshi travelers going to and coming from India.""","Entry, exit restrictions to India for Bangladeshi travellers lifted"
"মেজর সিনহার হত্যাকান্ড যখন অবশেষে ক্ষমতাসীনদের নাড়িয়ে দিয়েছে, এটি সুস্পষ্ট যে সরকার তার নিরাপত্তা বাহিনীর মধ্যকার বিস্তৃত সমস্যা সমাধানের চেয়ে ঘটনাটি পাশ কাটিয়ে উঠতে বেশি আগ্রহী।","When Major Sinha's murder incident finally shook the ruling party, it was clear that the government was more interested in covering up the event than in solving the widespread problems within its security forces.","While Major Sinha's killing has finally turned the heads of those in power, it's clear the government is more interested in moving past the incident than addressing a pervasive problem within its security forces."
মার্চ মাসে করোনাভাইরাস লকডাউন কর্যকর হবার পর ঢাকার বেশিরভাগ এলাকায় বইয়ের দোকানগুলি বন্ধ হয়ে যায়।,"After the lockdown was implemented in March due to the coronavirus, most bookstores in Dhaka areas were forced to close.",Most bookstores in Dhaka were closed when the Coronavirus lockdown was enforced in March.
অ্যামাজন বিডির কান্ট্রি ম্যানেজার শশাঙ্ক পান্ডে এবং ওয়ালটনের নির্বাহী পরিচালক ও কম্পিউটার পণ্য বিভাগের সিইও ইঞ্জিনিয়ার লিয়াকত আলী নিজ নিজ প্রতিষ্ঠানের পক্ষে চুক্তিতে সই করেন।,"The translation of the Bengali text is: ""Amazon Bid's Country Manager Shashank Pandey and Walton's Executive Director and CEO of the Computer Products Division Liakat Ali sign the contract on behalf of their respective organizations.""","Shashank Pandey, Country Manager of Amazon BD and Engineer Liakat Ali, Executive Director of Walton and CEO of Computer Products Division signed the agreement on behalf of their respective organizations."
"বঙ্গবন্ধুর দূরদর্শীপূর্ণ চিন্তা-ভাবনায় অনুপ্রাণিত হয়ে আমরা বিমসটেক, সার্ক, বিবিআইএন ও বিসিআইএমের মতো আঞ্চলিক সহযোগিতা অব্যাহত রেখেছি।","We were inspired by Bangabandhu's far-sighted thoughts and continued to maintain regional cooperation with organizations like BIMSTEC, SAARC, BIBIAN, and BIM.","Inspired by Bangabandhu's visionary ideas, we are continuing to champion regional cooperation like BIMSTEC, SAARC, BBIN, BCIM."
"তিনি বলেন, দ্বন্দ্বের কারণে এই সুবিধাটি অস্ত্র বিক্রেতাদের কাছে যায়।","He said, due to the conflict, this facility goes to the arms dealers.","Due to conflicts, the benefit goes to the arms sellers, she said."
"এছাড়া, সমাজকল্যাণ মন্ত্রণালয়ের প্রতিমন্ত্রী শরীফ আহমেদকে গৃহায়ণ ও গণপূর্ত মন্ত্রণালয়ের প্রতিমন্ত্রী করা হয়েছে।","The translation of the Bengali text is: ""Besides, Sharif Ahmed has been made the Deputy Minister of Housing and Public Works.""","Besides, State Minister for Social Welfare Sharif Ahmed was made state minister for Housing and Public Works Ministry."
আমাদের প্রতি বছর আট লাখ টন পেঁয়াজ আমাদের আমদানি করতে হয় যার ৯০ ভাগ আসে ভারত থেকে।,"Our country imports around 8 lakh tons of onions every year, out of which 90% comes from India.","We are to import eight lakh tonnes of onions every year, of which 90 per cent are imported from India."
আমরা সন্ত্রাসীদের চিহ্নিত করা মাত্রই তাদের বিরুদ্ধে ত্বরিত পদক্ষেপ নিচ্ছি।,We are identifying the terrorists and taking swift action against them.,We're taking prompt actions against the terrorists when they're identified.
"চীনের প্রধানমন্ত্রী বলেন, দুই দেশকে আলোচনার মাধ্যমে এই সমস্যার সমাধান বের করতে হবে।","The Prime Minister of China said, ""This problem needs to be solved through discussions between the two countries.""",The Chinese premier said the two countries will have to find out a solution to this end through discussion.
"দ্বিতীয় প্রস্তাবে প্রধানমন্ত্রী বলেন, দ্রুত প্রবৃদ্ধির সময়ে সমাজে যেন বৈষম্য আরো বেড়ে না যায় তা আমাদের নিশ্চিত করতে হবে কারণ সম্পদ হতে হবে অন্তর্ভুক্তমূলক এবং তা তৃণমূল পর্যায় পর্যন্ত পৌঁছতে হবে।","The Prime Minister said in the second proposal, we need to ensure that during the time of rapid growth, inequality does not increase in society. This is because wealth must be inclusive and reach down to the grassroots level.","In the second idea, Sheikh Hasina said it must be ensured that inequality across societies could not widen in times of faster growth as wealth creation should be inclusive and must trickle down to the grassroot levels."
"তিনি বলেন, একটি টেকসই ব-দ্বীপ বাস্তবায়নে এটি একটি দীর্ঘ মেয়াদি পরিকল্পনা, নীতি এবং অঙ্গীকার ।","He says, this is a long-term plan, policy, and commitment for the implementation of a techno-economic feasibility study for a new island development project.","It is a long-term strategy, policy and commitment to implement actions for sustainable delta, she said."
জাতীয় নেতাদের নিয়ে মিথ্যা বক্তব্য প্রচার করায় ৬ জন গ্রেপ্তার।,"The translation of the Bengali text is: ""Six people were arrested for spreading false speeches about national leaders.""",6 arrested for spreading false propaganda on national leaders.
"যে কারণে পাঠক এ বইয়ে গল্প, ভ্রমণ এবং তথ্য- তিনটিই পাবেন।","The translation of the Bengali text is: ""For which reason, readers will find stories, travel accounts, and information in this book.""","That is why readers, in this book, will find three things- stories, travels and information."
উদয় হাকিম ১৯৭৫ সালের ২৫ মার্চ টাঙ্গাইলের মির্জাপুর উপজেলার বর্ধনপাড়া গ্রামে জন্মগ্রহণ করেন।,"The text translates to: ""Udoy Hakim was born on March 25, 1975, in the village of Barhnapara, Mirzapur Upazila, Tangail.""",Uday Hakim was born on 25 March in 1975 at Bordhonpara village under Mirzapur Upazila of Tangail District.
"কক্সবাজারের উন্নয়ন প্রসঙ্গে শেখ হাসিনা বলেন, সমুদ্র তীরবর্তী এই জেলা এক সময় খুবই অবহেলিত ছিল এবং এর জনগণ অমানবিক জীবনযাপন করত।","Sheikh Hasina said regarding the development of Cox's Bazar, this coastal district was once very neglected and its people were living an inhumane life.","While talking about the the development of Cox's Bazar, Sheikh Hasina said the coastal district was once very neglected and the people used to lead an inhuman life."
তথ্যের শ্রেণীবিন্যাস অকাট্য প্রয়োজনীয়তা হলেও এই ক্ষমতা কার হাতে নাগরিকদের সে বিষয়ে অবশ্যই সজাগ থাকতে হবে।,"The classification of information is absolutely necessary, but citizens must be aware of who has the power over this classification.","Categorization of information is an irrefutable necessity, but citizens must remain vigilant in terms of who holds the power to do it."
প্রধানমন্ত্রী শেখ হাসিনা স্পেনের রাষ্ট্রপতি পেড্রো সানচেজের সঙ্গেও দ্বিপাক্ষিক বৈঠক করবেন।,"The Prime Minister Sheikh Hasina will also have a bilateral meeting with the President of Spain, Pedro Sánchez.",Prime Minister Sheikh Hasina will also hold a bilateral meeting with Spanish President Pedro Sanchez.
"প্রধানমন্ত্রী বলেন, ""আমরা জোরপূর্বক বাস্তুচ্যুত রোহিঙ্গাদের প্রত্যাবাসনে মিয়ানমারের সঙ্গে আলোচনা চালিয়ে যাচ্ছি এবং এই বিষয়ে আন্তর্জাতিক সম্প্রদায়ের সহযোগিতা কামনা করেছি।""","The Prime Minister said, ""We are engaging in discussions with Myanmar to relocate forcibly displaced Rohingyas and have sought international community's cooperation on this issue.""","The Prime Minister said, ""We're holding talks with Myanmar for repatriation of the forcibly displaced Rohingyas and we also sought help of the international community to this end."""
"শেখ হাসিনা গত জাতীয় নির্বাচনের কথা উল্লেখ করে বলেন, ""গত সাধারণ নির্বাচনে সব শ্রেণি-পেশার মানুষ আমাদের সমর্থন দিয়েছে যা অতীতে কখনো দেখা যায়নি।""","Sheikh Hasina mentioned in the context of the last national election, ""In the last general election, all classes and professions supported us, which has never been seen before.""","Referring to the last general election, Sheikh Hasina said, ""People of all professions and classes immensely supported us in the last general election which was never seen in the past."""
আবেগময় হয়ে তিনি উচ্চারণ করেন 'রোহিঙ্গা' শব্দটি এবং সবার পক্ষ থেকে তাঁদের কাছে ক্ষমা প্রার্থনাও করেছেন।,"The translation of the Bengali text is: ""With great emotion, he pronounced the word 'Rohingya' and also sought forgiveness from everyone.""","Emotionally, he pronounced the word ""Rohingya"" and apologized to everyone."
এর আগে প্রধানমন্ত্রী শেখ হাসিনা বাংলাদেশ সময় সকাল ৯টা ৩৫ মিনিটে লন্ডনের পথে হযরত শাহজালাল আন্তর্জাতিক বিমানবন্দর ত্যাগ করেন।,"Before that, Prime Minister Sheikh Hasina left Hazrat Shahjalal International Airport in Dhaka at 9:35 am for London.","Earlier, Prime Minister Sheikh Hasina left Hazrat Shahjalal International Airport for London at 9:35 am Bangladesh time."
বিশ্বব্যাপী জলবায়ু পরিবর্তনের ইস্যুতে বাংলাদেশ এবং ফিনল্যান্ড একসঙ্গে কাজ করতে সম্মত হয়েছে।,Bangladesh and Finland have agreed to work together on the issue of global climate change.,Bangladesh and Finland have agreed to work together on the issue of worldwide climate change.
দেশের নদীগুলোকে রক্ষা করতে আমাদের অবশ্যই পদক্ষেপ নিতে হবে।,We must take steps to protect our country's rivers.,We must take steps to protect the rivers of the country.
প্রধানমন্ত্রী শেখ হাসিনা আজ ভারতের ন্যাশনাল কংগ্রেস পার্টির সভাপতি সোনিয়া গান্ধীর সাথে কুশল বিনিময় করেছেন।,"The Prime Minister Sheikh Hasina had a meeting with Sonia Gandhi, the President of the National Congress Party of India, today.",Prime Minister Sheikh Hasina today exchanged pleasantries with Indian National Congress Party President Sonia Gandhi.
"প্রধানমন্ত্রী বলেন, পুরো ২০১৮ এবং ২০১৯ সাল জুড়েই জলবায়ু পরিবর্তন বিশ্বব্যাপী জনস্বাস্থ্য এবং জীবনযাত্রার ক্ষতি সাধন করেছিল।","The Prime Minister said, ""The entire year of 2018 and 2019 saw climate change causing harm to global health and lifestyle worldwide.""","The prime minister said throughout 2018 and 2019, climate change wrecked havoc on people's health and livelihood around the globe."
